project_id,project_name,announced_capacity,normalised_capacity_in_megawatt_electrolyser,normalised_capacity_in_normal_cubit_meter_hydrogen_per_hour,normalised_capacity_in_kilo_tones_hydrogen_per_year,normalised_capacity_in_tones_CO2_captured_per_year,IEA_zero_carbon_estimated_normalized_capacity_nm3_H2_per_hour
1,Solar PV Plant port of Sines - phase I,10MW,10,2222,1.7,,2222
2,Solar PV Plant port of Sines - phase II,1GW,990,220000,171.5,,220000
3,H2GO - 1st phase,2.5MW,2.5,556,0.4,,556
4,H2GO - 2nd phase,26MW,23.5,5222,4.1,,5222
5,"NortH2, phase 1",1GW,1000,222222,173.3,,222222
6,Norsk e-Fuel Phase 1,10 million litres of synthetic kerosene per year,22,5700,4.4,,5700
7,Norsk e-Fuel Phase 2,100 million litres of synthetic kerosene per year,220,57000,44.4,,57000
8,HYBRIT pilot,4.5MW,4.5,978,0.8,,978
9,HYBRIT demo,1 Mt iron/y,339.3,73752,57.5,,
10,Fertiberia/Iberdrola - Puertollano I,20 MW,20,4444,3.5,,4444
11,Power to Green H2 Mallorca - Phase 1,0.33kt H2/y,1.904725258,423,0.3,,423
12,Power to Green H2 Mallorca (GREEN HYSLAND) - Phase 2,7.5 MW,7.5,1667,1.3,,1667
13,Drax Humber cluster completion,,,,,,
14,CRI project in Norway,100000 t MeOH/y,110,24540,19,,24540
15,ARIES project,1.25 MW,1.25,240,0.2,,240
16,Fukushima Hydrogen Energy Research Field,10 MW,10,1923,1.5,,1923
17,Hydrospider - St Gallen,2 MW,2,385,0.3,,385
18,"Apex Energy, Rostock-Laage",2 MW,2,435,0.3,,435
19,Leuchtturmprojekt Power-to-Gas Baden-Württemberg,1.3 MW,1.3,250,0.2,,250
20,eFarm (5 production sites in North Frisia),1.125 MW,1.125,216,0.2,,216
22,Hydrogen plant - Orkney Islands - BIG HIT 2n phase,1 MW,1,192,0.1,,192
23,Wyhlen hydroelectric power plant,1 MW,1,217,0.2,,217
24,GrInHy2.0,0.72 MW - 200 m3 H2/h,0.72,200,0.2,,200
25,Power2Met,0.25 MW - 50 m3 H2/h,0.25,50,0,,50
26,REMOTE - Norway,50 kW,0.05,10,0,,10
27,H2One - Toranomon Hills Business Tower,1 m3/h,0.0052,1,0,,1
28,H2One - Toyama City Environment Center,1 m3/h,0.0052,1,0,,1
29,H2One - Tsuruga City,1 m3/h,0.0052,1,0,,1
30,H2FUTURE,6 MW,6,1154,0.9,,1154
31,Guangdong Synergy Hydrogen Power Technology Co. 1st phase,4 MW,4,769,0.6,,769
33,"Markham Energy Storage, Ontario",2.5 MW,2.5,481,0.4,,481
34,PFI - Pirmasens-Winzeln,2.5 MW,2.5,556,0.4,,556
35,HRS CMB,1 MW,1,192,0.1,,192
36,MEFCO2,1 MW - 200m3 H2/h - 1t MeOH/d,1,200,0.2,,200
37,"Windgas Haurup, 2nd phase",1 MW,1,192,0.1,,192
38,Parnu refuelling station,1 MW - 200m3 H2/h,1,200,0.2,,200
39,"H2Nodes, Parnu",185 m3 H2/h,0.962,185,0.1,,185
40,"H2Nodes, Riga",140 m3 H2/h,0.728,140,0.1,,140
41,SMT-AG Artois-Gohelle,0.5 MW,0.5,109,0.1,,109
42,HyDeploy,0.5 MW,0.5,96,0.1,,96
43,Quebec Great Toronto Area East,0.5 MW - 100m3 H2/h,0.5,100,0.1,,100
44,Pau bus station HRS,0.5 MW,0.5,96,0.1,,96
46,"Solothurn, STORE&GO",0.35 MW,0.35,67,0.1,,67
49,Sarawak Energy,60 m3/h,0.276,60,0,,60
50,Vårgårda Bostäder housing complex,60 m3/h,0.276,60,0,,60
51,SoCalGas-NREL,0.25 MW,0.25,56,0,,56
52,Stromlückenfüller 2nd phase,0.2 MW,0.2,38,0,,38
54,ATCO clean energy innovation hub,0.15MW,0.15,29,0,,29
55,Tauron CO2-SNG,18 m3/h,0.081,18,0,,18
56,Methane Synthesis test facility in Koshijihara Plant of INPEX’s - Nagaoa,,,,,,
58,VTT Bio economy+,0.025MW,0.025,5,0,,5
59,Kopernikus,0.01 MW - 10m3 H2/h,0.01,1,0,,1
60,Rozenburg Power2Gas Phase 2,0.007 MW,0.007,1,0,,1
61,Balance project,0.006MW,0.006,2,0,,2
62,H2One - SP Group,1 m3 H2/h,0.0052,1,0,,1
63,Falkenhagen STORE&GO,1 MW - 180 m3 H2/h,1,180,0.1,,180
64,"NEDO kofu city, Yamanashi Prefecture",1.5 MW,1.5,288,0.2,,288
65,Semakau island microgrid Engie (SPORE),50 kW,0.05,,0,,0
66,H2PLAZA - Toyota Industries Corporation’s Takahama,10 nm³ H₂/h,0.045,10,0,,10
67,Localhy,,,,,,
68,Wind to gas Brunsbüttel,2.4 MW - 450m3 H2/h,2.4,450,0.4,,450
69,Carbon2Chem,2 MW,2,385,0.3,,385
70,SunLine Transit Agency,1.5MW,1.5,288,0.2,,288
71,HyBALANCE,1.2 MW,1.2,231,0.2,,231
72,Aberdeen Conference Center,1MW - 200m3 H2/h,1,200,0.2,,200
73,Lam Takhong Wind Hydrogen Hybrid Project- EGAT,1MW - 200m3 H2/h,1,200,0.2,,200
74,H2ORIZON,1 MW,1,192,0.1,,192
75,ASKO Midt-Norge,150m3 H2/h,0.69,150,0.1,,150
76,Underground Sun Storage,0.6MW,0.6,130,0.1,,130
77,Hydrogen plant - Orkney Islands - BIG HIT 1st phase,0.5 MW,0.5,96,0.1,,96
80,"Windgas Haurup, 1st phase",0.225 MW,0.225,43,0,,43
82,"Troia, STORE&GO",0.2MW,0.2,38,0,,38
83,GNVert H2,37 m3 H2/h,0.1924,37,0,,37
85,Tongji solar hybrid hydrogen refueling station,25 m3 H2/h,0.1125,25,0,,25
87,Methanation at Eichhof,0.05 MW,0.05,10,0,,10
88,"CoSin: Synthetic Natural Gas from Sewage, Barcelona",20m3 CH4/h,0.03344,9,0,,9
89,REFLEX,10m3 H2/h,0.038,10,0,,10
90,Sendai City,0.025MW,0.025,5,0,,5
92,"Rostock, Exytron Demonstrationsanlage",4m3 H2/h,0.0184,4,0,,4
93,Tokyu Construction Institute of Technology,1m3 H2/h,0.0052,1,0,,1
94,Rakuten Seimei Park Miyagi,1m3 H2/h,0.0052,1,0,,1
95,"MicroPyros, Altenstant",0.25 m3 H2/h,0.001125,0,0,,0
96,Oxelösund Forklifts,,,,,,
97,H21 North of England,12.15GW H2 - 20Mt CO2/y,,3890730,3033.4,20000000,2507528.86
98,Drax Humber cluster demonstrators,,,,,,
111,"Hynet Northwest, phase 1 (Essar Stanlow refinery)",3 TWh H2/y,,115438,90,828657,103894
113,"Baicheng, Jilin wind-solar project",1 Mt H2/y,5771.894721,1282643,1000,,
115,"Alzey, Exytron Null-E",0.0625MW,0.0625,14,0,,14
119,Energy observer,9 m3/h,0.0468,9,0,,9
120,Haldor Topsoe - El-Opgraderet Biogas II,10 m3/h,0.038,10,0,,10
121,Musashi-Mizonokuchi Station,1 m3/h,0.0052,1,0,,1
122,"H2One - Hydrogen Application Center, Fuchu Complex",1 m3/h,0.0052,1,0,,1
123,H2One - Asahi Breweries in Ibaraki,1 m3/h,0.0052,1,0,,1
124,Costa Rica Transportation Ecosystem Project,1 m3/h,0.0052,1,0,,1
125,Cerro Pabellón Microgrid 450 kWh Hydrogen ESS,50 kW,0.05,11,0,,11
126,"Energy in the Container, Fraunhofer IISB, Erlangen, Leistungszentren Elektroniksysteme (LZE)",,,,,,
127,Hassfurt,1.25MW,1.25,240,0.2,,240
130,GreenHydroChem Central German Chemical Triangle,120MW,120,23077,18,,23077
134,HPEM2GAS (R&D),0.2MW,0.2,38,0,,38
135,Hamburg - Schnackenburgallee,0.185 MW,0.185,36,0,,36
136,smart grid solar - arzberg,0.075MW,0.075,14,0,,14
137,"Naval Facilities Engineering Command, Engineering and Expeditionary Warfare Center",0.05MW,0.05,13,0,,13
138,Laboratory System at IFE Kjeller Pahse 2,2m3 H2/h,0.0104,2,0,,2
139,"H2One - Kyushu Resort Hotel, Huis Ten Bosch",1m3 H2/h,0.0052,1,0,,1
140,H2One - Yokohama Cargo Center,1m3 H2/h,0.0052,1,0,,1
142,WindGas Hamburg-Reitbrook,1.5 MW,1.5,288,0,,288
143,"RH2 Grapzow, Mecklenburg Vorpommern",1MW - 200m3 H2/h,1,200,0,,200
146,P2G-Biocat - Continued (Ref 508),0.5 MW - 100 m3H2/h,0.5,100,0.1,,100
147,Raglan Nickel mine,60 m3/h,0.276,60,0,,60
148,Don Quichote,0.3 MW - 60 m3 H2/h,0.3,60,0,,60
149,Regio Energie Solothurn/Aarmat hybrid plant,0.7MW - 60m3 H2/h,0.7,60,0,,60
151,RWE PtG plant Ibbenbüren,0.15MW,0.15,29,0,,29
155,DemoSNG,28 m3/h,0.1456,28,0,,28
163,Stromlückenfüller 1st phase,0.02MW,0.02,4,0,,4
164,Higashi-Ogishima-Naga-Park,1 m3/h,0.0052,1,0,,1
165,Emden II Upscaling,,,,,,
167,SYNFUEL,,,,,,
169,"Hydrogen Valley South Tyrol - Bolzano, CHIC",1MW - 180m3 H2/h,1,180,0.1,,180
173,H2BER (Berlin airport),0.5 MW - 100 m3H2/h,0.5,100,0.1,,100
178,"Westkuste 100 (Phase 1) - HyScale 100, Heide",30MW,30,6667,5.2,,6667
198,"Hanau, Wolfgang Industrial Park",4m3 H2/h,0.0184,4,0,,4
199,"MicroPyros, Staubing",,,,,,
200,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",6 MW,6,1304,1,,1304
201,H2 Logic HRS with onsite electrolysis Aalborg,200 kg H2/d,0.43071161,94,0,,94
202,Uniper/E-ON WindGas Falkenhagen Hydrogen Pilot Project,1 MW - 180 m3 H2/h,1,180,0.1,,180
203,P2G plant Erdgas Schwaben,1 MW - 180 m3 H2/h,1,192,0.1,,192
204,"Oslo, CHIC",0.6MW - 120 m3 H2/h,0.6,120,0.1,,120
205,"HySynergy, phase 1",20MW,20,3846,3,,3846
207,CO2RRECT-Niederaussem,50 m3 H2/h,0.23,50,0,,50
211,"Sir Samuel building Griffith Center, Brisbane, Australia",0.2MW - 30 m3 H2/h,0.2,30,0,,30
213,"MicrobEnergy GmbH, Schwandorf",0.18 MW,0.18,35,0,,35
221,"H2Move, Fraunhofer ISE",0.04MW,0.04,8,0,,8
222,"Hazira, Reliance, back-up hydrogen supply",,,,,,
223,El Tubo - ACTA EL500,0.6m3 H2/h,0.00312,1,0,,1
225,Refhyne,10 MW,10,1923,1.5,,1923
227,H&R Ölwerke Hamburg-Neuhof,5 MW,5,962,0.7,,962
235,H2Herten,0.165MW,0.165,36,0,,36
236,H2 research center BTU Cottbus,0.14MW,0.14,30,0,,30
239,Cotbus,0.12 MW - 30 m3 H2/h,0.12,30,0,,30
240,Eucolino Schwandorf,24 m3 H2/h,0.108,24,0,,24
241,Agios Efstratios,0.1MW,0.1,22,0,,22
246,Hydrogen mini grid system Yorkshire (Rotherham),0.03MW,0.03,7,0,,7
249,"Fronius Energy Cell, self-sufficient house",1.7m3 H2/h,0.00884,2,0,,2
250,Hitachi Zosen - PTTEP CO2 Conversion to Methane Project R&D),,,,,,
251,Commercial Plant Svartsengi/George Olah plant,6MW - 1200m3 H2/h,6,1200,0.9,,1200
254,"Hamburg Hafen City, CEP",0.6MW - 120 m3 H2/h,0.6,120,0.1,,120
258,"Hybrid Power Plant Enertrag, Prenzlau",0.5MW - 120 m3 H2/h,0.5,120,0,,120
259,"EnBW H2 station, Stuttgart",0.3MW - 60 m3 H2/h,0.3,60,0,,60
270,Ramea Wind-Hydrogen-Diesel Project,27m3 H2/h,0.1242,27,0,,27
275,Hydrogen Island Bozcaada,11m3 H2/h,0.0495,11,0,,11
279,DNV Kema/DNV GL,0.01MW,0.01,2,0,,2
282,"HARP System, Bella Coola",0.3MW - 60 m3 H2/h,0.3,60,0,,60
286,H2KT - Hydrogen Energy Storage in Nuuk,19m3 H2/h,0.0874,19,0,,19
288,ITHER,0.065MW,0.065,14,0,,14
295,H2SusBuild,0.022MW,0.22,48,0,,48
296,"Hybrid energy storage system NFCRC, California",0.007MW,0.007,1,0,,1
299,Nukissiorfiit Nuuk Hydrogen Plant,,,,,,
302,"Centre of Fuel Cell Technology, Chennai",2 m3/h,0.0104,2,0,,2
303,"Hychico, Comodoro Rivadavia",120+60m3 H2/h,0.828,180,0.1,,180
305,Taleghan solar hydrogen energy system,0.2MW,0.2,44,0,,44
306,Istanbul,0.16MW - 30m3 H2/h,0.16,30,0,,30
309,AltHytude,0.08MW,0.08,17,0,,17
312,Regenerativer Energipark Ostfalia/hybrid renewable energy park (HREP),0.006MW,0.006,1,0,,1
313,DRI CO2 recycling,0.005MW,0.005,1,0,,1
314,Neo Olvio of Xanthi,0.004MW,0.004,1,0,,1
315,HYLINK Totara,0.0025MW,0.0025,0,0,,0
333,Baglan Energy Park Wales,10 m3/h,0.046,10,0,,10
340,"Synthetic Energy, Idaho",7m3 H2/h,0.0364,7,0,,7
341,Hydepark,0.007MW,0.007,1,0,,1
342,"Stand-alone power system, Neo Olvio of Xanthi",0.7m3 H2/h,0.00364,1,0,,1
343,"HYLINK, Totara Valley",0.09m3 H2/h,0.000468,0,0,,0
356,RES2H2 Gran Canaria,0.055MW,0.055,12,0,,12
362,"H2 from the sun, Brunate",0.007MW,0.007,2,0,,2
363,CEC Denizli Turkey,0.7m3 H2/h,0.00364,1,0,,1
366,"CUTE and HyFLEET:CUTE, Barcelona",0.3MW - 60 m3 H2/h,0.3,60,0,,60
387,Savli wind-hydrogen demo project,0.005MW,0.005,1,0,,1
405,"Dahej, Reliance, back-up hydrogen supply",444m3 H2/h,2.0424,444,0.3,,444
427,"HARI project, West Beacon Farm",0.034MW,0.034,7,0,,7
433,"Porto, CUTE",0.3MW - 60 m3 H2/h,0.3,60,0,,60
437,Energiepark Mainz,6 MW,6,1154,0.9,,1154
449,INGRID,1.15 MW,1.15,250,0.2,,250
452,Tohoku pilot plant in 2003,4m3 H2/h,0.0184,4,0,,4
453,Gwalpahari Solar-Hydrogen demonstration,0.12MW,0.12,27,0,,27
461,Solar Energy Centre SmartFuel hydrogen station,,,,,,
472,FaHyence,30 m3/h,0.138,30,0,,30
477,CPI Zaoquan thermal power plant in China's Ningxia region,20 m3/h,0.092,20,0,,20
487,Laboratory Plant HRI Quebec,0.005MW - 1 m3 H2/h,0.005,1,0,,1
491,Power plant in Lebanon for a Power Plant Cooling application,0.114MW,0.114,25,0,,25
492,Minatec's semiconductor labs in Grenoble,12 m3 H2/h,0.0552,12,0,,12
494,Grimstad Renewable Energy Park,0.05MW,0.05,11,0,,11
497,Hypos - Sunfire,0.18MW - 50 m3 H2/h,0.18,50,0,,50
498,Electrochaea: Biological methanation in Avedøre,1.2MW - 2000 m3 H2/h,1.2,200,0.2,,200
499,REMOTE - Agkistro (Greece,0.025MW,0.025,6,0,,6
500,"REMOTE - Spain, Canary Island",0.08MW,0.08,15,0,,15
501,Aman - Green Hydrogen Project,30GW,30000,6666667,5197.6,,6666667
502,HRS CMB Port of Antwerp,1.2 MW,1.2,231,0.2,,231
503,Haldor Topsoe - El-Opgraderet Biogas I,10 m3/h,0.038,10,0,,10
504,P2G-Biocat - Decommisioned,0.5 MW - 100 m3H2/h,0.5,100,0.1,,100
505,H2 Logic HRS with onsite electrolysis in Vejle,200 kg H2/d,0.43071161,94,0,,94
506,H2 Logic HRS with onsite electrolysis Holstebro,200 kg H2/d,0.43071161,94,0,,94
507,H2 Logic 3 HRS with onsite electrolysis in Copenhagen,3x200 kg H2/d,1.292134831,281,0,,281
508,Fertiberia/Iberdrola - Puertollano II (extension from Ref10),210MW (in addition to the 20MW included in Ref 10),210,46667,36,,46667
509,"Hyoffwind Zeebrugge, 1st phase",1MW,1,222,0.2,,222
510,"Hyoffwind Zeebrugge, 2nd phase",25MW,24,5333,4.2,,5333
511,"Hyoffwind Zeebrugge, 3rd phase",1000MW,975,216667,168.9,,216667
512,Hyport,50MW,50,11111,9,,11111
513,"""Waste-to-wheels"" Charleroi",,,,,,
514,"Power-to-Methanol, Antwerp, phase 1",10MW - 8kt MeO/y,10,1963,2,,1963
516,Green Fuels for Denmark - Phase 1,10MW,10,2222,1.7,,2222
517,Hystock (EnergyStock),1 MW - 220m3 H2/h,1,220,0.2,,220
518,HAEOLUS,2.5MW - 500m3 H2/h,2.5,500,0,,500
519,FUTURECEM,100 MW,100,22222,17,,22222
520,Primolyzer (R&D),1m3 H2/h,0.0052,1,0,,1
521,PROCON (R&D),,,,,,
522,Foulum Demonstration plant,0.25 MW,0.25,48,0,,48
524,Green Natural Gas,0.04MW,0.04,11,0,,11
525,“Towards the Methane Society”,,,,,,
526,"MEDLYS, Medium temperature water electrolysis (R&D)",,,,,,
527,MeGa-stoRE,1.4 m3 H2/h,0.00644,1,0,,1
528,MeGa-stoRE Optimising and Upscaling,0.25MW,0.25,54,0,,54
529,"Vestenskov/ Nakskov Industrial and Environmental Park, Lolland",16 m3 H2/h,0.0832,16,0,,16
530,H2RES - Orsted offshore wind,2MW,2,435,0,,435
531,Samsø,,,,,,
532,Esbjerg green ammonia plant,1GW,1000,222222,173,,222222
533,HRS Aalborg,0.25MW - 60m3 H2/h,0.25,60,0,,60
535,eSMR Methanol demo plant in Aarhus University,10kg MeOH/h,2.231605012,587,0,,587
536,HyCycle - Center for renewable H2 (R&D),,,,,,
537,NEXPEL (R&D),,,,,,
538,Glomfjord Hydrogen AS,2MW,2,435,0,,435
539,"HyNor Lillestrøm, Akershus Energy Park",10m3 H2/h,,10,0,,10
540,Statkraft-CELSA-Mo green H2 for steel production,40-50MW,45,9783,8,,9783
541,Utsira Island,0.048MW - 10m3 H2/h,0.048,10,0,,10
542,Nordic Blue Crude,20MW,20,5263,4,,5263
543,Acorn Aberdeenshire,200MW - 0.4Mt CO2/y,,64045,50,400000,50150.58
544,Laboratory System at IFE Kjeller Phase 1,0.7 m3 H2/h,0.00364,1,0,,1
545,Teesside collective,0.68Mt CO2/y,,,,680000,85255.98
546,HyDEMO,280000 m3/h,,280000,218,,
547,Aurora (former Pilot-E),,,,,,
548,"Green fertilizer project Porsgrunn, phase 1",5MW,5,1087,1,,1087
549,4Kvinnherad Power-to-Gas,30-60MW - 10-20t H2/d,45,7022,5,,7022
550,Tjeldbergodden Hydrogen,15t/y,,19,0,,19
552,Gigastack-Hornsea 2,100 MW,100,19231,15,,19231
553,The Hydrogen office,5.3 m3 H2/h,0.02438,5,0,,5
554,RABH2,0.005MW,0.005,1,0,,1
555,Air Fuel Synthesis pilot plant,,,,,,
556,"Aberdeen, Hydrogen bus project",1MW - 180m3 H2/h,1,180,0.1,,180
557,"Fife, Levenmouth Community Energy Project",0.37MW,0.37,82,0.1,,82
558,"PURE Project, Unst",0.015MW,0.015,3,0,,3
559,Tyseley Energy Park refuelling hub,3MW,3,577,0.4,,577
562,H2H Saltend (Related to Humber Cluster demos),1.4Mt CO2/y - 600 MW H2,,,150,1400000,175527.02
563,Green Fuels for Denmark - Phase 2,250MW,240,53333,,,53333
565,Green Fuels for Denmark - Phase 3,1300MW,1050,233333,182,,233333
566,Green Hydrogen for Scotland,20MW,20,3846,3,,3846
568,H2morrow,328000 m3 H2/h - 1.9Mt CO2 captured,,328000,256,1900000,238215
571,CF Industries - Donaldsonville Nitrogen Complex,20 kt NH3/y - 20MW,20,4619,3.6,,4619
572,Linde - Ontario (California),,,,,,
573,Westkuste 100 (Phase 2),300MW,270,60000,46.8,,60000
574,Get H2 Lingen,300MW,300,66667,52,,66667
575,HySynGas,50MW,50,9615,7.5,,9615
576,Northern Irish hydrogen project,1 MW,1,222,0.2,,222
577,"Liquid Wind, FlagshipONE",140 t MeOH/d,56.43071629,12540,10,,12540
578,H2U - Eyre Peninsula Gateway Hydrogen Project at Port Bonython.,75MW - 40kt NH3/y,75,16667,13,,16667
579,"North CCU HUB, phase 1. North-C -Methanol Demo plant",63MW-45kt MeOH,63,14000,10.915,,14000
580,Centurion,100 MW,100,19231,15,,19231
581,Asian Renewable Energy Hub,14000MW,14000,3111111,2425.5,,3111111
582,IPCEI SilverFrog,1000MW,1000,192308,149.9,,192308
583,IPCEI New Green Flamingo,5000MW,5000,1111111,866.3,,1111111
584,Murchison,5000MW,5000,961538,749.7,,961538
585,Helios Green Fuels - Neom,650t H2/d - 1.2Mt NH3/y,1400,304307,237.3,,304307
586,IPCEI Blue Danube,1500-2115MW,1500,333333,259.9,,333333
587,Project GERI,1500MW,1500,333333,259.9,,333333
588,IPCEI Black Horse (40 electrolysis production sites),320 t H2/d,674.1573034,149813,116.8,,149813
589,Project NEO,1000MW,1000,222222,173.3,,222222
590,NEL - Nikola Agreement H2 refuelling stations in USA (from 2020),1000MW,915,203333,158.5,,203333
591,Hydrogen Delta - Zeeland,1000MW,900,200000,155.9,,200000
592,HyEx - phase 1,50MW,50,11111,8.7,,11111
593,HyEx - phase 2,780MW,730,162222,126.5,,162222
594,Costa Rica Transportation Ecosystem Project,3 m3/h,0.0104,2,0,,2
595,"HyNetherlands, 1st phase",100MW,100,22222,17.3,,22222
596,HyNetherlands 2nd phase,1000MW,900,200000,155.9,,200000
597,Hygreen Provence 1st phase,17MW,17,3778,2.9,,3778
598,Hygreen Provence 2nd phase,130MW,113,25111,19.6,,25111
599,Hygreen Provence 3rd phase,435MW,305,67778,52.8,,67778
600,Sundance Hydrogen,60t H2/d,126.4044944,28090,21.9,,28090
601,Port of Rotterdam BP refinery - H2.50,250MW,250,55556,43.3,,55556
602,"Hysencia, Phase I",40MW,40,8889,7,,8889
603,Ningxia Solar Hydrogen Project,100MW,100,21739,17,,21739
604,Dyno Nobel Renewable Hydrogen Project,160MW,160,35556,28,,35556
605,Green Crane Pais Vasco Hub,150MW,150,33333,26,,33333
606,"Green Crane, Asturias Hub, Phase I",100MW,100,22222,17,,22222
607,"Green Crane, Castilla y Leon Hub",100MW,68,15111,12,,15111
608,"Green Crane, Aragon Hub",50MW,50,11111,9,,11111
609,Hydrogen Plant for Westereems Wind Farm (RWE Eemshaven),50MW,5,1111,1,,1111
610,Queensland Nitrates Renewable Hydrogen and Ammonia,30MW,30,6667,5,,6667
611,"Hemweg
 hub Amsterdam",10MW,10,2222,2,,2222
612,Yara Sluiskil (Deltaurus 2) - Haddock,100MW - 75000t NH3/y,100,22222,17,,22222
613,Weifang Binhai Photovoltaic 100MW Hydrogen Generation Project,,,,,,
614,"GreenH2UB (10 hubs of 3-10MW, the first one Ref786)",100MW,95,21111,16,,21111
615,vHyGO - 1st Facility for H2 buses in Bouin (H2 Ouest),1MW - 300kg H2/d,1,140.4,0,,140
616,vHyGO - 2nd facility in Vannes (EffiH2),60MW,59.31,12893,10,,12893
617,H2SusBuild / RES-H2,4m3 H2/h,0.0184,4,0,,4
618,Ferrolterra plant,100MW,100,22222,17,,22222
619,ELYGRID (R&D),2.6MW,2.6,565,0,,565
620,Aviation synfuels,10000t synthetic kerosene/y,34.26238875,6589,5,,6589
621,Tapada do Outeiro natural gas power plant,15MW,15,3333,3,,3333
622,"Lingen BP Refinery , phase 1",50MW,50,11111,9,,11111
623,Wunsiedel Energy Park (Phase 1),8.75MW,8,1538,1,,1538
