project_id,project_name,announced_capacity,normalised_capacity_in_megawatt_electrolyser,normalised_capacity_in_normal_cubit_meter_hydrogen_per_hour,normalised_capacity_in_kilo_tones_hydrogen_per_year,normalised_capacity_in_tones_CO2_captured_per_year,IEA_zero_carbon_estimated_normalized_capacity_nm3_H2_per_hour
624,Wunsiedel Energy Park (Phase 2),2kt H2/t,13.33949002,2565,2,,2565
625,Repsol Bilbao port synfuels project,10MW,10,2222,2,,2222
626,Methane Synthesis test facility in Koshijihara Plant of INPEX’s - Nagaoa,16m3 H2/h,0.072,16,0,,16
627,Hydrogen Island Aitutaki,0.055MW,0.055,12,0,,12
628,Hydrogen Island Bozcaada,0.055MW,0.055,12,0,,12
629,E-Thor,5MW,5,1111,1,,1111
630,H₂ Air Base Leeuwarden,5MW,5,1111,1,,1111
631,SEE / Storage of electric energy,0.006MW,0.006,1,0,,1
632,New zealand Matiu/Somes Island,0.0012MW,0.0012,0,0,,0
633,Vendée hydrogène,3.4MW,3.4,756,1,,756
634,H2One - SP Group,1m3 H2/h,0.0052,1,0,,1
635,RESelyser (R&D),0.001MW,0.001,0,0,,0
636,DVGW-EBI KIT - Demo-SNG,,,,,,
637,Multiphly,2.6MW,2.6,684,1,,684
638,Semakau island microgrid Engie (SPORE),,,,,,
639,"PostBus Hydrogen bus, Brugg, aargau CHIC",60m3 H2/h,0.276,60,0,,60
640,Emden I Biogas upgrading,0.312MW,0.312,68,0,,68
641,PtG Switzerland,2.5MW,2.5,481,0,,481
642,MYRTE,0.11MW,0.11,21,0,,21
643,H2OzBus Project,2MW,2,385,0,,385
644,"Sunfire PtL demo ""Fuel1""",10m3 H2/h,0.038,10,0,,10
645,Hyport - Toulouse-Blagnac Airport,400kg H2/d,0.842696629,187,0,,187
646,DEMETER,,,,,,
647,Ekolyser (R&D),,,,,,
648,LastEISys (R&D),,,,,,
649,PtG-Elektrolyse im MW-Maßstab (R&D),0.3MW,0.3,65,0,,65
650,"BioPower2Gas, Allendorf, Eder",60m3 H2/h,0.312,60,0,,60
651,Rozenburg Power2Gas Phase 1,0.007MW,0.007,1,0,,1
652,"Greenhouse heating, solar-H2",0.0025MW,0.0025,1,0,,1
653,EE-Methan aus CO2 (R&D),,,,,,
654,OptFuel (R&D),,,,,,
655,Thüga PtG plant Frankfurt/Main,0.3MW,0.3,58,0,,58
656,RENOVAGAS,2m3 H2/h,0.0092,2,0,,2
657,"HyFLEET:CUTE, Hamburg",60m3 H2/h,0.276,60,0,,60
658,Reduction and Reuse of CO2: Renewable Fuels for Electricity Production- ZHAW,0.3m3 H2/h,0.00156,0,0,,0
659,CHOCHCO,,,,,,
660,Hydrogen Wind Farm Sotavento,0.3MW - 60m3 H2/h,0.3,60,0,,60
661,"CUTE, Stockholm",0.3MW - 60m3 H2/h,0.3,60,0,,60
662,"HyFLEET:CUTE, Amesterdam",0.3MW - 60m3 H2/h,0.3,60,0,,60
663,"Wind2Hydrogen, HyCentA",0.1MW,0.1,19,0,,19
664,BOEING (rSOC Demonstrator),10m3 H2/h,0.038,10,0,,10
665,Pilot & Demo PtM HSR,0.025MW,0.025,5,0,,5
666,Dresden,0.01MW,0.01,3,0,,3
667,Rapperswil,,,,,,
668,"RegEnKibo, Kirchheimbolanden (R&D)",,,,,,
669,ECTOS,60m3 H2/h,0.276,60,0,,60
670,"ETOGAS, Solar Fuel Alpha-plant 250 kW, ZSW",0.25MW,0.25,54,0,,54
671,"Shoro Dam in Shiranuka-cho, Shiranuka-gun, Hokkaido",35m3 H2/h,0.182,35,0,,35
672,SoCalGas and University of California Irvine 1,13m3 H2/h,0.0676,13,0,,13
673,HELMETH (R&D),0.015MW,0.015,4,0,,4
674,SoCalGas and University of California Irvine 2,1m3 H2/h,0.0052,1,0,,1
675,Tomakomai,100kt CO2/y,,,,100000,12538
676,GrInHy,0.15MW - 37.5m3 H2/h,0.15,28,0,,28
677,"Tomamae Town, Hokkaido",0.135MW,0.135,29,0,,29
678,Yokohama City Wind Power Plant (Hama Wing),10m3 H2/h,0.52,100,0,,100
679,GRHYD,10m3 H2/h,0.52,100,0,,100
680,ELY4OFF,0.05MW,0.05,10,0,,10
681,"Hidrolica, Tahivilla",0.041MW,0.041,8,0,,8
682,GenHyPEM (R&D),6.3 m3 H2/h,0.03276,6,0,,6
683,Jupiter 1000,1MW - 200m3 H2/h,1,200,0,,200
684,Hawaii Hydrogen Power Park (phase 2),0.005MW,0.005,1,0,,1
685,PVFCSYS Sophia Antipolis,0.0036MW,0.0036,1,0,,1
686,PVFCSYS Agrate,0.0034MW,0.0034,1,0,,1
687,"THEUS H2 Energy Storage, Takasago (R&D)",0.7 m3 H2/h,0.00364,1,0,,1
688,Aeropila,0.5 m3 H2/h,0.0026,1,0,,1
689,PosHYdon,1MW,1,192,0,,192
690,FIRST - Showcase II,0.001MW,0.001,0,0,,0
691,IHAVU,0.05m3 H2/h,0.000225,0,0,,0
692,"WELTEMP, Water electrolysis at elevated temperature",,,,,,
693,Ameland,,,,,,
694,Wind-H2 Village Prince Edward Island,0.3MW,0.3,65,0,,65
695,"DTE Energy Hydrogen Technoly Park, Southfield Michigan",0.099MW,0.099,22,0,,22
696,Wind2H2 Project NREL,0.04MW,0.04,9,0,,9
697,Small Scale Renewable Power System DRI (Desert Research Institute),0.0065MW,0.0065,1,0,,1
698,IRENE System,0.006MW,0.006,1,0,,1
699,Bio SNG Güssing,,,,,,
701,Fine Chemical Industry Park of Lanzhou,1000m3 H2/h - 1440t MeOH,4.5,1000,1,,1000
702,GldH2,2MW,2,444,0,,444
703,P2P IPKW,1-10MW,1,222,0,,222
704,McPhy HRS,1MW - 200m3 H2/h,1,200,0,,200
705,MethFuel,1MW,1,192,0,,192
706,Coffeyville fertilizer plant,1000000 t CO2/y,,,,1000000,125376
707,PCS Nitrogen,700000t CO2/y,,,,700000,87764
708,Port Arthur,1000000t CO2/y - 151000m3 H2/h,,151000,118,1000000,125376
709,MCRC bio-hydrogen facility Chennai,12m3 H2/h,,12,0,,12
710,Port Jerome,100000t CO2/y - 4500kg H2/h,,50000,39,100000,12538
711,Quest,1000000t CO2/y - 300 kt H2/y,,,300,1000000,125376
712,ElectroHgena,,,,,,
713,Power to flex (several pilot projects),,,,,,
714,"Minerve, Nantes",0.12MW - 10m3 H2/h,0.12,10,0,,10
716,HYPOS (several projects),1.25MW,1.25,278,0,,278
717,"Hazira, Reliance, back-up hydrogen supply",680m3 H2/h,3.128,680,1,,680
718,Air Liquide Becancour,20MW - 8t H2/d,20,3745,3,,3745
719,Hebei Jiantou Guyuan wind project - 2nd phase,10MW,6,1304,1,,1304
720,Air Products Net-Zero Hydrogen Energy Complex,1500t H2/d - 3 Mt CO2/y,,667135,520,,667135
721,Haiperer Wind Power Hebei - first phase,4.3 t H2/d,9.1,2013,2,,2013
722,Guangdong Synergy Hydrogen Power Technology Co. 2n phase,9MW,9,1731,1,,1731
723,"Foshan hydrogen city, Phase 1",3MW,3,577,0,,577
724,"Foshan hydrogen city, Phase 2",10MW,7,1346,1,,1346
725,DEMO4GRID,4MW,4,870,1,,870
726,Anglo-American Mining Truck,3.5MW,3.5,761,1,,761
727,Walmart Quilicura forklifts,56t H2/y,0.373505721,72,0,,
728,Wuppertal refuelling station,2.5MW - 500m3 H2/h,2.5,500,0,,500
730,SALCOS - WindH2,2 x 1.25MW - 450m3 H2/h,2.5,450,0,,450
731,PtG-Fehndorf,2MW,2,444,0,,444
732,Hebei Jiantou Guyuan wind project - 1st phase,4MW,4,870,1,,870
733,"Green hydrogen Project, Mohammad Bin Rashid Solar Park",1.25MW,1.25,240,0,,240
734,Hydrogen Park South Australia - HyPSA,1.25MW,1.25,240,0,,240
735,NEL-Champaign-Urbana Mass Transit District,1 MW,1,192,0,,192
736,Cyrus Smith,0.02MW,0.02,4,0,,4
737,Jemena Western Sydney - H2GO project,0.5MW,0.5,111,0,,111
738,Queensland Government HRS,0.22MW,0.22,49,0,,49
739,GRASSHOPPER,0.1<W,0.1,19,0,,19
740,Seafuel project,25kg H2/d,0.038238803,8,0,,8
741,Obayashi geothermal hydrogen,10m3 H2/h,0.045,10,0,,10
742,Hydrogen village Burgenland,2m3 H2/h,0.0104,2,0,,2
743,"Unisa, Mawson Lakes campus",,,,,,
744,North West Sturgeon refinery,1200000t CO2/y,,,,1200000,71815
745,Nutrien (former Agrium) fertilizer,300000t CO2/y,,,,300000,37613
746,Kidman Park in Adelaide depot,,,,,,
747,"SPHYNX, R&D",,,,,,
748,Laboratory Plant HRI Quebec,1m3 H2/h,0.0046,1,0,,1
749,Fronius HyLOG-Fleet (Hydrogen powered Logistic System),,,,,,
750,"HyWindBalance, Oldenburg",,,,,,
751,vHyGO -3rd facility in Brest,1.5MW,1.5,326,0,,
752,Hyport@Duqm,250-500MW,250,55556,43,,55556
753,Engie - Yara Pilbara test,10MW,10,2222,2,,2222
754,Haiperer Wind Power Hebei - second phase,27.8t H2/d,49.50842697,13015,10,,13015
755,"Crystal Brook Energy Park, South Australia",50MW,50,11111,9,,11111
756,Origin Energy - Kawasaki Heavy Industries Townsville project,300MW,300,66667,52,,66667
757,H2-hub Gladstone (Queensland) - phase 1,150W,150,33333,26,,33333
758,"CIIC Tiangong wind and solar hydrogen, Zhangjiakou",20MW,20,4444,3,,4444
759,"Demonstration plant Kuala Terengganu, Malaysia",0.001MW,0.1,19,0,,19
760,Demo Plant Agricultural University Athens,,,,,,
761,The Hydrogen house,,,,,,
762,Fenosa Canberra hydrogen demo project,,,,,,
764,Alliander Oosterwolde - solar park of GroenLeven,1.4MW,1.4,304,0,,304
765,Siemens Energy and Beijing Green Hydrogen Technology Development HRS,1MW,1,192,0,,192
766,RWE-Thyssenkrupp Duisburg steel plant (HydrOxy Hub Walsum),100MW,100,22222,17,,22222
767,HyAMMED HD trucksrefuelling station,1000kg H2/d,2.1,468,0,,468
768,Ribatejo natural gas power plant,1MW,1,222,0,,222
769,Air Liquide liquid hydrogen production plant,"30t H2/d (only part from biogas, but at least 1/3)",,4682,4,,4682
770,"Haru Oni, phase 1",1.25 MW - 750000 l MeOH/y,1.25,240,0.2,,240
771,Hollandse Kust (noord) - CrossWind - Pernis Refinery,200MW,200,44444,35,,44444
772,Sun Metals Zinc Refinery,1MW,1,222,0,,222
773,HRS TMB Barcelona,2 MW,2,385,0,,385
774,HRS Charleroi,,,,,,
775,HRS CNH2 Puertollano,0.06MW,0.06,13,0,,13
776,Fertiberia/Iberdrola - Palos de la Frontera I,230MW,230,51111,40,,51111
777,Hyflexpower,,,,,,
778,HydroHub-Fenne,,,,,,
779,Solena Group Plasma enhanced gasification,11000kg H2/d,,5150,4,,5150
780,H2U (former Proyecto Verne),1.5MW,1.5,333,0,,333
781,Olive Creek 1,14000t carbon black/y (1t H2:3T carbon black),,5986,5,,
782,Olive Creek 2,275kt NH3/y,,63516,50,,
783,Fertiberia/Iberdrola - Palos de la Frontera II,370MW (in addition to the 230MW included in Ref 776),370,82222,64,,82222
784,Douglas PUD - industrial area north of East Wenatchee,5MW,5,962,1,,962
785,Chongli wind-solar Hydrogen Project - first phase,1.7t H2/d,4.138576779,796,1,,796
786,"GreenH2UB (1st hub, Noord Brabant)",5-10MW,5,1111,1,,1111
787,Duwaal,2MW,2,385,0,,385
788,Chongli wind-solar Hydrogen Project - second phase,,,,,,
789,Hysolar Green on Road - Nieuwegein,2MW,2,444,0,,444
790,Halcyon Power,1.5MW - 250m3 H2/h,1.5,250,0,,250
791,Hydrogenpilot Oosterwolde,1MW,1,222,0,,222
792,Kopernikus 2.0,0.25MW,0.25,66,0,,66
793,E-CO2MET Raffinerie Mitteldeutschland,1MW,1,263,0,,263
794,HESC (Liquefied hydrogen energy supply chain),4.39 Mt CO2/y - 770 tH2/d,,360487,281,4390000,262722
795,H-Vision (phase 1),900000t CO2/y - 100 kt H2/y,,128264,100,900000,112838.8
796,Preem CCS,500000t CO2/y,,,,500000,62688.22
797,METHYCENTRE,0.25MW,1.04,200,0,,200
798,Hydrogen Park Gladstone,0.175MW,0.175,34,0,,34
799,"Toyota Hydrogen Centre, Altona, Victoria",0.2MW,0.2,44,0,,44
800,GZI Next,10MW,10,1923,1,,1923
803,Yanchang Integrated Carbon Capture and Storage Demonstration,410000t CO2/y,,,,410000,24537
804,Hazer group CH4 pyrolysis,100t H2/y,,128,0,,128
805,ECB Omega Green biofuel project,310MW,310,67391,53,,67391
806,"Element One (Element Eins), phase 1",0.72 GWh H2/d,20,4348,3,,4348
807,"H2V Normandy, 1st phase",100MW,100,21739,17,,21739
808,"H2V59, 1st phase",100MW,100,21739,17,,21739
809,Arrowsmith Hydrogen Project,50MW,50,11111,9,,11111
811,Bad Lauchstädt energy park,30MW,30,6522,5,,6522
812,"DJEWELS Chemiepark - Delfzijl, Phase 1",20MW,20,4348,3,,4348
813,UpHy,6MW,6,1154,1,,1154
814,Referenzkraftwerk Lausitz,10 m3 H2/h,0.052,10,0,,10
815,Lake Charles Methanol,4200000t CO2/y,,,,4200000,251351
816,PGNiG - INGRID,,,,,,
817,LADWP - NREL Intermountain Power Project,1000MW,1000,222222,173,,222222
818,"DJEWELS Chemiepark - Delfzijl, Phase 2",60MW,40,8889,7,,8889
819,H2ermes,100MW,100,22222,17,,22222
820,"H2V Normandy, 2nd phase",100MW,100,21739,17,,21739
821,"H2V59, 2nd phase",100MW,100,21739,17,,21739
822,Hybridge,100MW,100,,0,,0
823,H2M,1300000t CO2/y,,,,1300000,162989.38
825,Wabash CarbonSAFE,1650000t CO2/y,,,,1650000,98745.04
826,"Etzel, Salt caverns",,,,,,
827,"Shell heavy residue gasification CCU - Pernis refinery (in 2024, the CCU project will become CCUS - ref1323 - once Porhtos project is available)",400000t CO2/y - 1000 kt/y,,1282643,1000,400000,23938
828,Bio Energy Netherlands,,,,,,
829,Blue Hydrogen Den Helder,,,,,,
830,Nemo Hydrogen Project,100MW,100,22222,17,,22222
831,Baicheng City Bus Company - Songyuan City,,,,,,
833,Repsol advanced biofuels plant Cartagena,,,,,,
834,H2-based residential area in Van der Veen,,,,,,
835,H2Gas,,,,,,
836,Long Beach Fuel Cell plant,,,,,,
837,Producing Hydrogen by Gasification of Biomass in 'het Groene Hart',,,,,,
838,Ramboll study for an e-fuel plant in Greenland,,,,,,
839,Saint-Brieuc Armor Agglomeration production plant,,,,,,
840,"Giner ELX, H2@Scale (Florida)",0.5MW,0.5,96,0,,96
841,"Exelon, H2@Scale",1MW,1,192,0,,192
842,"Frontier Energy, H2@Scale - electrolysis",20kg H2/d,0.048689139,9,0,,9
843,"DJEWELS Chemiepark - Delfzijl, Phase 3",40MW,40,8889,7,,8889
844,Curthyl,100MW,100,22222,17,,22222
845,Deltaurus 1,150MW - 1GW,150,33333,26,,33333
846,Deltaurus 3,700MW,700,155556,121,,155556
847,"North CCU HUB, phase 3 (Deltaurus 4)",600MW,300,66667,52,,66667
848,Centrale Vlissingen - VoltH2,25MW,25,5556,4,,5556
849,"HySynergy, phase 2",300W,300,66667,52,,66667
850,Green lab skive,12MW,12,2667,2,,2667
851,Shell China - Zhangjiakou,20MW,20,4444,3,,4444
852,Dobrogea wind farm,,,,,,
853,Aberdeen Hydrogen Hub,,,,,,
854,"Fortescue Metals Group - Bell Bay, Tasmania",250MW - 250kt NH3/y,250,55556,43,,55556
855,H2HUB,,,,,,
856,"Green Crane - La Robla, Phase 1",60MW,60,13333,10,,13333
857,"Meirama plant, phase 1",50MW,50,11111,9,,11111
858,EMEC tidal-battery-hydrogen demo,,,,,,
859,Orange-BAT Puerto Valencia,,,,,,
860,Huaneng electrolysis plant in Western Sichuan,6000m3 H2/h,27,6000,5,,6000
861,H-Vision (phase 2),2700000t CO2/y - 300 kt H2/y,,256529,200,1800000,225677.6
862,HaYrport,0.75MW,0.75,167,0,,167
863,"Power-to-Methanol, Antwerp, phase 2",100MW,90,20000,16,,20000
864,"Hyport, phase 2",300MW,250,55556,43,,55556
865,"IPCEI Green Crane, Italy Hubs",769MW,769,170889,133,,170889
866,White Dragon,250kt H2/y,1442.97368,320661,250,,320661
867,"North CCU HUB, phase 2. North-C -full scale",300MW,237,52667,41,,52667
868,HRS Halle (Continued as Ref148),60 m3 H2/h,0.276,60,0,,60
869,HRS Wilrijk,60 m3 H2/h,0.312,60,0,,60
870,Origin Energy Tasmania’s Bell Bay,500MW-420 ktnNH3/y,500,97007,76,,97007
871,H2One Multistation- Tsuruga City,1 m3/h,0.0052,1,0,,1
872,"H100 Fife Project, Levenmouth",5MW,5,1111,1,,1111
873,Steag-Thyssenkrupp Duisburg steel plant (HydrOxy Hub Walsum),500MW,400,88889,69,,88889
874,Gela refinery,20MW,20,3846,3,,3846
875,Taranto Sustainable Refinery,10MW,10,1923,1,,1923
876,Plug Power-Brookfield Renewable Susquehanna River (Pen) project,15 t H2/d - 30MW,31.6011236,7022,5,,7022
877,"Green fertilizer project Porsgrunn, phase 2",20MW,15,3261,3,,3261
878,"BENORTH2 (Amorebieta-Boroa power plant), phase 1",20MW,20,4444,3,,4444
879,"BENORTH2 (Amorebieta-Boroa power plant), phase 2",200MW,180,40000,31,,40000
880,Camberra HRS,10 m3/h,0.052,10,0,,10
881,Recycle Carbone Varennes biofuels plant,88MW,88,19556,15,,19556
882,Beijing Jingneng Power Company,500kt H2/y,2885.94736,641322,500,,641322
883,Western Jutland Green ammonia project,10MW,10,2222,2,,2222
884,Wallonia e-methane project,75MW,75,16667,13,,16667
885,Get H2 Nukleus,100MW,100,22222,17,,22222
886,"NortH2, phase 2",4GW,3000,666667,519.8,,666667
887,"NortH2, phase 3",10GW,7000,1555556,1212.8,,1555556
888,"AquaPrimus (AquaVentus, phase 1), Heligoland",28MW,28,6222,5,,6222
889,Pacific Solar Hydrogen,200kt H2/y,1154.378944,256529,200,,256529
890,H2-hub Gladstone (Queensland) - phases 2-3,3GW,2850,633333,494,,633333
891,Brande Hydrogen project,0.4MW,0.4,77,0,,77
892,Hydrogen trial in Dalmine steel mill,20MW,20,4444,3,,4444
893,Horizeo project,,,,,,
894,Deep Purple,,,,,,
895,Pinto waste water plant,,,,,,
896,Linde Leuna Chemical Complex,24MW,24,4615,4,,4615
897,Total’s La Mède biorefinery,40MW,40,8889,7,,8889
898,Project Haber,10MW,10,2222,2,,2222
899,Grupa Lotos refinery,100MW,100,22222,17,,22222
900,Vattenfall's Moorburg plant,100MW,100,22222,17,,22222
901,H2TAS,10 MW,10,2222,2,,2222
902,Sumitomo Queensland,0.25-0.3 kt H2/y,1.587271048,353,0,,353
903,Sumitomo Oman,0.3-0.4 kt H2/y,,449,0,,
904,Sumitomo Malaysia,,,,,,
905,H24All,100MW,100,21739,17,,21739
906,As Pontes power plant,100MW,100,22222,17,,22222
907,Esslingen District,0.5MW,0.5,109,0,,109
908,Compostilla - Endesa,4MW,4,889,1,,889
909,Seseña - Endesa,4MW,4,889,1,,889
910,Huelva - Endesa,100MW,100,22222,17,,22222
911,Hidrogeno El Cierzo,7.2MW,7.2,1600,1,,1600
912,Tarragona - Endesa,20MW,20,4444,3,,4444
913,Teruel - Endesa,60MW,60,13333,10,,13333
914,Almeria - Endesa,20MW,20,4444,3,,4444
915,Barranco de Tirajana - Endesa,7MW,7,1556,1,,1556
916,Granadilla - Endesa,10MW,10,2222,2,,2222
917,Alcudia - Endesa,8MW,8,1778,1,,1778
918,"Green Crane, Asturias Hub, Phase Ib",5MW,5,1111,1,,1111
919,"Green Crane, Asturias Hub, Phase Ib",100MW,100,22222,17,,22222
920,"Hynet Northwest, phase 2",30 TWh H2/y,,1038941,810,6995124,877023.71
921,Zero Emission Valley (14 HRS),,,,,,
922,Bahía H2 Offshore,,,,,,
923,Liberty South - Port Anthony,20 t H2/d,,93633,73,,93633
924,KOGAN HYDROGEN DEMONSTRATION PROJECT,,,,,,
925,Masdar City green H2,1000t H2/y,5.771894721,1283,1,,1283
926,Lysekil refinery (phase 1),50MW,50,11111,9,,11111
927,"Maasvlakte, phase I",100MW,100,22222,17,,22222
928,"Maasvlakte, phase II",500MW,400,88889,69,,88889
929,"Hydrogen Park Murray Valley, Victoria",10MW,10,2222,2,,2222
930,Clean Energy Innovation Park,10MW,10,2222,2,,2222
931,ORANGE.BAT Castellon,100MW,100,21739,17,,21739
932,Saras Sardinia refinery,20MW,20,4444,3,,4444
933,H2 Creteil,0.18 kt H2/y,1.03894105,231,0,,231
934,SunLine Palms Springs,2MW,2,385,0,,385
935,Unknown project from NEL,1.5MW,1.5,288,0,,288
936,H2 Green Steel (H2GS),5 million tonnes of steel,1581.787748,351508,274,,351508
937,"New York Science, Technology and Advanced Manufacturing Park",120MW,120,23077,18,,23077
938,Abanto Technology Park,2MW,2,444,0,,444
939,HyDeal Ambition,67GW,67000,14888889,11608,,14888889
940,Boryeong LNG Terminal,250 kt H2/y,,320661,250,1200000,150451.73
941,Florida Power & Light utility pilot plant,20MW,20,4444,3,,4444
942,Refhyne II,100MW,90,17308,13,,17308
943,H2-Login,6 kg H2/d,0.01333949,3,0,,3
944,Changwon Industrial complex,,,,,,
945,Wilhelmshaven LNG terminal,410MW,410,91111,71,,91111
946,Sinopec Qilu Petrochemical CCS,700kt CO2/y,,,,700000,41891.84
947,Karamay Dunhua Oil Technology CCUS EOR Project,100000t CO2/y,,,,100000,5985
948,Great Plains Synfuel Plant and Weyburn-Midale,3000000 t CO2/y,,,,3000000,179536.44
949,Al Reyadah CCUS,800000 t CO2/y,,,,800000,47876
950,Leed Bradford Airport hub,,,,,,
951,Northwest Natural Holding synthetic methane plant,2-10MW,10,2222,2,,2222
952,Centre Point Energy Minnesota,,,,,,
953,New Jersey Resources Howell,50MW,50,11111,9,,11111
954,Vantaa-Wartsila methanation,20MW,20,4444,3,,4444
955,AES Gener ammonia project,,,,,,
956,PDO’s solar-paneled car park,,,,,,
957,Amin Solar Renewable Energy Project,,,,,,
958,Huaneng Qingneng Institute demo plant,,,,,,
959,CNNC HTGR P2G demo,0.1m3 H2/h,0.00045,0,0,,0
960,CNNC 600MW HTGR P2G for steel,50000m3 H2/h,225,50000,39,,50000
961,"Datong City solar plant, phase 1",10MW,10,2222,2,,2222
962,Eco Energy World Quenssland project,200 MW,200,44444,35,,44444
963,National grid green H2 storage in New York,,,,,,
964,DH2Green Port of Malaga,,,,,,
965,Saipem and Alboran Hydrogen (3 plants),,,,,,
966,Saipem and Alboran Hydrogen (1 plant),,,,,,
967,Saipem and Alboran Hydrogen (1 plant),,,,,,
968,Optimal-ITM agreement,0.7MW,0.7,135,0,,135
969,Unknown ITM peoject,8MW,8,1538,1,,1538
