project_location_id,project_id,project_name,country_code,country
1,1,Solar PV Plant port of Sines - phase I,PRT,Portugal
2,2,Solar PV Plant port of Sines - phase II,PRT,Portugal
3,3,H2GO - 1st phase,NLD,Netherlands
4,4,H2GO - 2nd phase,NLD,Netherlands
5,5,"NortH2, phase 1",NLD,Netherlands
6,6,Norsk e-Fuel Phase 1,NOR,Norway
7,7,Norsk e-Fuel Phase 2,NOR,Norway
8,8,HYBRIT pilot,SWE,Sweden
9,9,HYBRIT demo,SWE,Sweden
10,10,Fertiberia/Iberdrola - Puertollano I,ESP,Spain
11,11,Power to Green H2 Mallorca - Phase 1,ESP,Spain
12,12,Power to Green H2 Mallorca (GREEN HYSLAND) - Phase 2,ESP,Spain
13,13,Drax Humber cluster completion,GBR,United Kingdom
14,14,CRI project in Norway,NOR,Norway
15,15,ARIES project,USA,United States of America
16,16,Fukushima Hydrogen Energy Research Field,JPN,Japan
17,17,Hydrospider - St Gallen,CHE,Switzerland
18,18,"Apex Energy, Rostock-Laage",DEU,Germany
19,19,Leuchtturmprojekt Power-to-Gas Baden-Württemberg,DEU,Germany
20,20,eFarm (5 production sites in North Frisia),DEU,Germany
21,22,Hydrogen plant - Orkney Islands - BIG HIT 2n phase,GBR,United Kingdom
22,23,Wyhlen hydroelectric power plant,DEU,Germany
23,24,GrInHy2.0,DEU,Germany
24,25,Power2Met,DNK,Denmark
25,26,REMOTE - Norway,NOR,Norway
26,27,H2One - Toranomon Hills Business Tower,JPN,Japan
27,28,H2One - Toyama City Environment Center,JPN,Japan
28,29,H2One - Tsuruga City,JPN,Japan
29,30,H2FUTURE,AUT,Austria
30,31,Guangdong Synergy Hydrogen Power Technology Co. 1st phase,CHN,China
31,33,"Markham Energy Storage, Ontario",CAN,Canada
32,34,PFI - Pirmasens-Winzeln,DEU,Germany
33,35,HRS CMB,BEL,Belgium
34,36,MEFCO2,DEU,Germany
35,37,"Windgas Haurup, 2nd phase",DEU,Germany
36,38,Parnu refuelling station,EST,Estonia
37,39,"H2Nodes, Parnu",EST,Estonia
38,40,"H2Nodes, Riga",EST,Estonia
39,41,SMT-AG Artois-Gohelle,FRA,France
40,42,HyDeploy,GBR,United Kingdom
41,43,Quebec Great Toronto Area East,CAN,Canada
42,44,Pau bus station HRS,FRA,France
43,46,"Solothurn, STORE&GO",CHE,Switzerland
44,49,Sarawak Energy,MYS,Malaysia
45,50,Vårgårda Bostäder housing complex,SWE,Sweden
46,51,SoCalGas-NREL,USA,United States of America
47,52,Stromlückenfüller 2nd phase,DEU,Germany
48,54,ATCO clean energy innovation hub,AUS,Australia
49,55,Tauron CO2-SNG,POL,Poland
50,56,Methane Synthesis test facility in Koshijihara Plant of INPEX’s - Nagaoa,JPN,Japan
51,58,VTT Bio economy+,FIN,Finland
52,59,Kopernikus,DEU,Germany
53,60,Rozenburg Power2Gas Phase 2,NLD,Netherlands
54,61,Balance project,FIN,Finland
55,62,H2One - SP Group,SGP,Singapore
56,63,Falkenhagen STORE&GO,DEU,Germany
57,64,"NEDO kofu city, Yamanashi Prefecture",JPN,Japan
58,65,Semakau island microgrid Engie (SPORE),SGP,Singapore
59,66,H2PLAZA - Toyota Industries Corporation’s Takahama,JPN,Japan
60,67,Localhy,DEU,Germany
61,68,Wind to gas Brunsbüttel,DEU,Germany
62,69,Carbon2Chem,DEU,Germany
63,70,SunLine Transit Agency,USA,United States of America
64,71,HyBALANCE,DNK,Denmark
65,72,Aberdeen Conference Center,GBR,United Kingdom
66,73,Lam Takhong Wind Hydrogen Hybrid Project- EGAT,THA,Thailand
67,74,H2ORIZON,DEU,Germany
68,75,ASKO Midt-Norge,NOR,Norway
69,76,Underground Sun Storage,AUT,Austria
70,77,Hydrogen plant - Orkney Islands - BIG HIT 1st phase,GBR,United Kingdom
71,80,"Windgas Haurup, 1st phase",DEU,Germany
72,82,"Troia, STORE&GO",ITA,Italy
73,83,GNVert H2,FRA,France
74,85,Tongji solar hybrid hydrogen refueling station,CHN,China
75,87,Methanation at Eichhof,DEU,Germany
76,88,"CoSin: Synthetic Natural Gas from Sewage, Barcelona",ESP,Spain
77,89,REFLEX,ITA,Italy
78,90,Sendai City,JPN,Japan
79,92,"Rostock, Exytron Demonstrationsanlage",DEU,Germany
80,93,Tokyu Construction Institute of Technology,JPN,Japan
81,94,Rakuten Seimei Park Miyagi,JPN,Japan
82,95,"MicroPyros, Altenstant",DEU,Germany
83,96,Oxelösund Forklifts,SWE,Sweden
84,97,H21 North of England,GBR,United Kingdom
85,98,Drax Humber cluster demonstrators,GBR,United Kingdom
86,111,"Hynet Northwest, phase 1 (Essar Stanlow refinery)",GBR,United Kingdom
87,113,"Baicheng, Jilin wind-solar project",CHN,China
88,115,"Alzey, Exytron Null-E",DEU,Germany
89,119,Energy observer,FRA,France
90,120,Haldor Topsoe - El-Opgraderet Biogas II,DNK,Denmark
91,121,Musashi-Mizonokuchi Station,JPN,Japan
92,122,"H2One - Hydrogen Application Center, Fuchu Complex",JPN,Japan
93,123,H2One - Asahi Breweries in Ibaraki,JPN,Japan
94,124,Costa Rica Transportation Ecosystem Project,CRI,Costa Rica
95,125,Cerro Pabellón Microgrid 450 kWh Hydrogen ESS,CHL,Chile
96,126,"Energy in the Container, Fraunhofer IISB, Erlangen, Leistungszentren Elektroniksysteme (LZE)",DEU,Germany
97,127,Hassfurt,DEU,Germany
98,130,GreenHydroChem Central German Chemical Triangle,DEU,Germany
99,134,HPEM2GAS (R&D),DEU,Germany
100,135,Hamburg - Schnackenburgallee,DEU,Germany
101,136,smart grid solar - arzberg,DEU,Germany
102,137,"Naval Facilities Engineering Command, Engineering and Expeditionary Warfare Center",USA,United States of America
103,138,Laboratory System at IFE Kjeller Pahse 2,NOR,Norway
104,139,"H2One - Kyushu Resort Hotel, Huis Ten Bosch",JPN,Japan
105,140,H2One - Yokohama Cargo Center,JPN,Japan
106,142,WindGas Hamburg-Reitbrook,DEU,Germany
107,143,"RH2 Grapzow, Mecklenburg Vorpommern",DEU,Germany
108,146,P2G-Biocat - Continued (Ref 508),DNK,Denmark
109,147,Raglan Nickel mine,CAN,Canada
110,148,Don Quichote,BEL,Belgium
111,149,Regio Energie Solothurn/Aarmat hybrid plant,CHE,Switzerland
112,151,RWE PtG plant Ibbenbüren,DEU,Germany
113,155,DemoSNG,SWE,Sweden
114,163,Stromlückenfüller 1st phase,DEU,Germany
115,164,Higashi-Ogishima-Naga-Park,JPN,Japan
116,165,Emden II Upscaling,DEU,Germany
117,167,SYNFUEL,DNK,Denmark
118,169,"Hydrogen Valley South Tyrol - Bolzano, CHIC",ITA,Italy
119,173,H2BER (Berlin airport),DEU,Germany
120,178,"Westkuste 100 (Phase 1) - HyScale 100, Heide",DEU,Germany
121,198,"Hanau, Wolfgang Industrial Park",DEU,Germany
122,199,"MicroPyros, Staubing",DEU,Germany
123,200,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",DEU,Germany
124,201,H2 Logic HRS with onsite electrolysis Aalborg,DNK,Denmark
125,202,Uniper/E-ON WindGas Falkenhagen Hydrogen Pilot Project,DEU,Germany
126,203,P2G plant Erdgas Schwaben,DEU,Germany
127,204,"Oslo, CHIC",NOR,Norway
128,205,"HySynergy, phase 1",DNK,Denmark
129,207,CO2RRECT-Niederaussem,DEU,Germany
130,211,"Sir Samuel building Griffith Center, Brisbane, Australia",AUS,Australia
131,213,"MicrobEnergy GmbH, Schwandorf",DEU,Germany
132,221,"H2Move, Fraunhofer ISE",DEU,Germany
133,222,"Hazira, Reliance, back-up hydrogen supply",IND,India
134,223,El Tubo - ACTA EL500,ESP,Spain
135,225,Refhyne,DEU,Germany
136,227,H&R Ölwerke Hamburg-Neuhof,DEU,Germany
137,235,H2Herten,DEU,Germany
138,236,H2 research center BTU Cottbus,DEU,Germany
139,239,Cotbus,DEU,Germany
140,240,Eucolino Schwandorf,DEU,Germany
141,241,Agios Efstratios,GRC,Greece
142,246,Hydrogen mini grid system Yorkshire (Rotherham),GBR,United Kingdom
143,249,"Fronius Energy Cell, self-sufficient house",AUT,Austria
144,250,Hitachi Zosen - PTTEP CO2 Conversion to Methane Project R&D),THA,Thailand
145,251,Commercial Plant Svartsengi/George Olah plant,ISL,Iceland
146,254,"Hamburg Hafen City, CEP",DEU,Germany
147,258,"Hybrid Power Plant Enertrag, Prenzlau",DEU,Germany
148,259,"EnBW H2 station, Stuttgart",DEU,Germany
149,270,Ramea Wind-Hydrogen-Diesel Project,CAN,Canada
150,275,Hydrogen Island Bozcaada,TUR,Turkey
151,279,DNV Kema/DNV GL,NLD,Netherlands
152,282,"HARP System, Bella Coola",CAN,Canada
153,286,H2KT - Hydrogen Energy Storage in Nuuk,DNK,Denmark
154,288,ITHER,ESP,Spain
155,295,H2SusBuild,GRC,Greece
156,296,"Hybrid energy storage system NFCRC, California",USA,United States of America
157,299,Nukissiorfiit Nuuk Hydrogen Plant,DNK,Denmark
158,302,"Centre of Fuel Cell Technology, Chennai",IND,India
159,303,"Hychico, Comodoro Rivadavia",ARG,Argentina
160,305,Taleghan solar hydrogen energy system,IRN,Iran
161,306,Istanbul,TUR,Turkey
162,309,AltHytude,FRA,France
163,312,Regenerativer Energipark Ostfalia/hybrid renewable energy park (HREP),DEU,Germany
164,313,DRI CO2 recycling,USA,United States of America
165,314,Neo Olvio of Xanthi,GRC,Greece
166,315,HYLINK Totara,NZL,New Zealand
167,333,Baglan Energy Park Wales,GBR,United Kingdom
168,340,"Synthetic Energy, Idaho",USA,United States of America
169,341,Hydepark,TUR,Turkey
170,342,"Stand-alone power system, Neo Olvio of Xanthi",GRC,Greece
171,343,"HYLINK, Totara Valley",NZL,New Zealand
172,356,RES2H2 Gran Canaria,ESP,Spain
173,362,"H2 from the sun, Brunate",ITA,Italy
174,363,CEC Denizli Turkey,TUR,Turkey
175,366,"CUTE and HyFLEET:CUTE, Barcelona",ESP,Spain
176,387,Savli wind-hydrogen demo project,IND,India
177,405,"Dahej, Reliance, back-up hydrogen supply",IND,India
178,427,"HARI project, West Beacon Farm",GBR,United Kingdom
179,433,"Porto, CUTE",PRT,Portugal
180,437,Energiepark Mainz,DEU,Germany
181,449,INGRID,ITA,Italy
182,452,Tohoku pilot plant in 2003,JPN,Japan
183,453,Gwalpahari Solar-Hydrogen demonstration,IND,India
184,461,Solar Energy Centre SmartFuel hydrogen station,IND,India
185,472,FaHyence,FRA,France
186,477,CPI Zaoquan thermal power plant in China's Ningxia region,CHN,China
187,487,Laboratory Plant HRI Quebec,CAN,Canada
188,491,Power plant in Lebanon for a Power Plant Cooling application,LBN,Lebanon
189,492,Minatec's semiconductor labs in Grenoble,FRA,France
190,494,Grimstad Renewable Energy Park,NOR,Norway
191,497,Hypos - Sunfire,DEU,Germany
192,498,Electrochaea: Biological methanation in Avedøre,DNK,Denmark
193,499,REMOTE - Agkistro (Greece,GRC,Greece
194,500,"REMOTE - Spain, Canary Island",ITA,Italy
195,501,Aman - Green Hydrogen Project,MRT,Mauritania
196,502,HRS CMB Port of Antwerp,BEL,Belgium
197,503,Haldor Topsoe - El-Opgraderet Biogas I,DNK,Denmark
198,504,P2G-Biocat - Decommisioned,DNK,Denmark
199,505,H2 Logic HRS with onsite electrolysis in Vejle,DNK,Denmark
200,506,H2 Logic HRS with onsite electrolysis Holstebro,DNK,Denmark
201,507,H2 Logic 3 HRS with onsite electrolysis in Copenhagen,DNK,Denmark
202,508,Fertiberia/Iberdrola - Puertollano II (extension from Ref10),ESP,Spain
203,509,"Hyoffwind Zeebrugge, 1st phase",BEL,Belgium
204,510,"Hyoffwind Zeebrugge, 2nd phase",BEL,Belgium
205,511,"Hyoffwind Zeebrugge, 3rd phase",BEL,Belgium
206,512,Hyport,BEL,Belgium
207,513,"""Waste-to-wheels"" Charleroi",BEL,Belgium
208,514,"Power-to-Methanol, Antwerp, phase 1",BEL,Belgium
209,516,Green Fuels for Denmark - Phase 1,DNK,Denmark
210,517,Hystock (EnergyStock),NLD,Netherlands
211,518,HAEOLUS,NOR,Norway
212,519,FUTURECEM,DNK,Denmark
213,520,Primolyzer (R&D),DNK,Denmark
214,521,PROCON (R&D),DNK,Denmark
215,522,Foulum Demonstration plant,DNK,Denmark
216,524,Green Natural Gas,DNK,Denmark
217,525,“Towards the Methane Society”,DNK,Denmark
218,526,"MEDLYS, Medium temperature water electrolysis (R&D)",DNK,Denmark
219,527,MeGa-stoRE,DNK,Denmark
220,528,MeGa-stoRE Optimising and Upscaling,DNK,Denmark
221,529,"Vestenskov/ Nakskov Industrial and Environmental Park, Lolland",DNK,Denmark
222,530,H2RES - Orsted offshore wind,DNK,Denmark
223,531,Samsø,DNK,Denmark
224,532,Esbjerg green ammonia plant,DNK,Denmark
225,533,HRS Aalborg,DNK,Denmark
226,535,eSMR Methanol demo plant in Aarhus University,DNK,Denmark
227,536,HyCycle - Center for renewable H2 (R&D),DNK,Denmark
228,537,NEXPEL (R&D),NOR,Norway
229,538,Glomfjord Hydrogen AS,NOR,Norway
230,539,"HyNor Lillestrøm, Akershus Energy Park",NOR,Norway
231,540,Statkraft-CELSA-Mo green H2 for steel production,NOR,Norway
232,541,Utsira Island,NOR,Norway
233,542,Nordic Blue Crude,NOR,Norway
234,543,Acorn Aberdeenshire,GBR,United Kingdom
235,544,Laboratory System at IFE Kjeller Phase 1,NOR,Norway
236,545,Teesside collective,GBR,United Kingdom
237,546,HyDEMO,NOR,Norway
238,547,Aurora (former Pilot-E),NOR,Norway
239,548,"Green fertilizer project Porsgrunn, phase 1",NOR,Norway
240,549,4Kvinnherad Power-to-Gas,NOR,Norway
241,550,Tjeldbergodden Hydrogen,NOR,Norway
242,552,Gigastack-Hornsea 2,GBR,United Kingdom
243,553,The Hydrogen office,GBR,United Kingdom
244,554,RABH2,GBR,United Kingdom
245,555,Air Fuel Synthesis pilot plant,GBR,United Kingdom
246,556,"Aberdeen, Hydrogen bus project",GBR,United Kingdom
247,557,"Fife, Levenmouth Community Energy Project",GBR,United Kingdom
248,558,"PURE Project, Unst",GBR,United Kingdom
249,559,Tyseley Energy Park refuelling hub,GBR,United Kingdom
250,562,H2H Saltend (Related to Humber Cluster demos),GBR,United Kingdom
251,563,Green Fuels for Denmark - Phase 2,DNK,Denmark
252,565,Green Fuels for Denmark - Phase 3,DNK,Denmark
253,566,Green Hydrogen for Scotland,GBR,United Kingdom
254,568,H2morrow,DEU,Germany
255,571,CF Industries - Donaldsonville Nitrogen Complex,USA,United States of America
256,572,Linde - Ontario (California),USA,United States of America
257,573,Westkuste 100 (Phase 2),DEU,Germany
258,574,Get H2 Lingen,DEU,Germany
259,575,HySynGas,DEU,Germany
260,576,Northern Irish hydrogen project,GBR,United Kingdom
261,577,"Liquid Wind, FlagshipONE",SWE,Sweden
262,578,H2U - Eyre Peninsula Gateway Hydrogen Project at Port Bonython.,AUS,Australia
263,579,"North CCU HUB, phase 1. North-C -Methanol Demo plant",BEL,Belgium
264,580,Centurion,GBR,United Kingdom
265,581,Asian Renewable Energy Hub,AUS,Australia
266,582,IPCEI SilverFrog,ITA,Italy
267,583,IPCEI New Green Flamingo,PRT,Portugal
268,583,IPCEI New Green Flamingo,ESP,Spain
269,584,Murchison,AUS,Australia
270,585,Helios Green Fuels - Neom,SAU,Saudi Arabia
271,586,IPCEI Blue Danube,ROU,Romania
272,586,IPCEI Blue Danube,DEU,Germany
273,586,IPCEI Blue Danube,AUT,Austria
274,587,Project GERI,AUS,Australia
275,588,IPCEI Black Horse (40 electrolysis production sites),POL,Poland
276,588,IPCEI Black Horse (40 electrolysis production sites),CZE,Czechia
277,588,IPCEI Black Horse (40 electrolysis production sites),SVK,Slovakia
278,588,IPCEI Black Horse (40 electrolysis production sites),HUN,Hungary
279,589,Project NEO,AUS,Australia
280,590,NEL - Nikola Agreement H2 refuelling stations in USA (from 2020),USA,United States of America
281,591,Hydrogen Delta - Zeeland,NLD,Netherlands
282,592,HyEx - phase 1,CHL,Chile
283,593,HyEx - phase 2,CHL,Chile
284,594,Costa Rica Transportation Ecosystem Project,CRI,Costa Rica
285,595,"HyNetherlands, 1st phase",NLD,Netherlands
286,596,HyNetherlands 2nd phase,NLD,Netherlands
287,597,Hygreen Provence 1st phase,FRA,France
288,598,Hygreen Provence 2nd phase,FRA,France
289,599,Hygreen Provence 3rd phase,FRA,France
290,600,Sundance Hydrogen,CAN,Canada
291,601,Port of Rotterdam BP refinery - H2.50,NLD,Netherlands
292,602,"Hysencia, Phase I",ESP,Spain
293,603,Ningxia Solar Hydrogen Project,CHN,China
294,604,Dyno Nobel Renewable Hydrogen Project,AUS,Australia
295,605,Green Crane Pais Vasco Hub,ESP,Spain
296,606,"Green Crane, Asturias Hub, Phase I",ESP,Spain
297,607,"Green Crane, Castilla y Leon Hub",ESP,Spain
298,608,"Green Crane, Aragon Hub",ESP,Spain
299,609,Hydrogen Plant for Westereems Wind Farm (RWE Eemshaven),NLD,Netherlands
300,610,Queensland Nitrates Renewable Hydrogen and Ammonia,AUS,Australia
301,611,"Hemweg
 hub Amsterdam",NLD,Netherlands
302,612,Yara Sluiskil (Deltaurus 2) - Haddock,NLD,Netherlands
303,613,Weifang Binhai Photovoltaic 100MW Hydrogen Generation Project,CHN,China
304,614,"GreenH2UB (10 hubs of 3-10MW, the first one Ref786)",NLD,Netherlands
305,615,vHyGO - 1st Facility for H2 buses in Bouin (H2 Ouest),FRA,France
306,616,vHyGO - 2nd facility in Vannes (EffiH2),FRA,France
307,617,H2SusBuild / RES-H2,GRC,Greece
308,618,Ferrolterra plant,ESP,Spain
309,619,ELYGRID (R&D),ESP,Spain
310,620,Aviation synfuels,PRT,Portugal
311,621,Tapada do Outeiro natural gas power plant,PRT,Portugal
312,622,"Lingen BP Refinery , phase 1",DEU,Germany
313,623,Wunsiedel Energy Park (Phase 1),DEU,Germany
314,624,Wunsiedel Energy Park (Phase 2),DEU,Germany
315,625,Repsol Bilbao port synfuels project,ESP,Spain
316,626,Methane Synthesis test facility in Koshijihara Plant of INPEX’s - Nagaoa,JPN,Japan
317,627,Hydrogen Island Aitutaki,COK,Cook Islands (the)
318,628,Hydrogen Island Bozcaada,TUR,Turkey
319,629,E-Thor,NLD,Netherlands
320,630,H₂ Air Base Leeuwarden,NLD,Netherlands
321,631,SEE / Storage of electric energy,DEU,Germany
322,632,New zealand Matiu/Somes Island,NZL,New Zealand
323,633,Vendée hydrogène,FRA,France
324,634,H2One - SP Group,SGP,Singapore
325,635,RESelyser (R&D),EU,EU
326,636,DVGW-EBI KIT - Demo-SNG,DEU,Germany
327,637,Multiphly,NLD,Netherlands
328,638,Semakau island microgrid Engie (SPORE),SGP,Singapore
329,639,"PostBus Hydrogen bus, Brugg, aargau CHIC",CHE,Switzerland
330,640,Emden I Biogas upgrading,DEU,Germany
331,641,PtG Switzerland,CHE,Switzerland
332,642,MYRTE,FRA,France
333,643,H2OzBus Project,AUS,Australia
334,644,"Sunfire PtL demo ""Fuel1""",DEU,Germany
