Ref,Project Name,Project Type,Announcement Date,FID Date,Operation Date,Decommission Date,Project Status,Project Phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of Carbon,Part of CCUS Hub
CCUS_1,3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),Capture,2019-01-01,,2025-01-01,,Planned,1.0,1.0,1.0,Iron and steel,Unknown/unspecified,
CCUS_2,8Rivers H2 (8RH2) (WY),Capture,2022-01-01,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
CCUS_3,Abu Dhabi CCS Phase 1: Emirates Steel Industries,Full Chain,2007-01-01,2012-01-01,2016-01-01,,Operational,1.0,0.8,0.8,Iron and steel,Enhanced oil recovery,
CCUS_4,Abu Dhabi CCS Phase 2: Habshan and Bab gas plant,Full Chain,2020-01-01,,2030-01-01,,Planned,2.0,1.9,1.9,Natural gas processing,Enhanced oil recovery,
CCUS_5,Abu Dhabi CCS Phase 2: Shah gas plant,Full Chain,2020-01-01,,2030-01-01,,Planned,2.0,2.3,2.3,Natural gas processing,Enhanced oil recovery,
CCUS_6,Acorn CCS phase 1-Capture at St Fergus,Capture,2016-01-01,2023-01-01,2024-01-01,,Planned,,0.3,0.3,Natural gas processing,Dedicated storage,Acorn CCS
CCUS_7,Acorn CCS phase 1-T&S,Transport & Storage,2016-01-01,2023-01-01,2024-01-01,,Planned,1.0,0.3,0.8,CO2 transport & storage,Dedicated storage,Acorn CCS
CCUS_8,Acorn CCS phase 2,Transport & Storage,2017-01-01,,,,Planned,2.0,5.0,5.0,CO2 transport & storage,Dedicated storage,Acorn CCS
CCUS_9,Acorn H2,Capture,2018-01-01,,2025-01-01,,Planned,,0.4,0.4,Hydrogen/ammonia,Dedicated storage,Acorn CCS
CCUS_10,Adbri Calix new Lime plant Kwinana,Capture,2021-01-01,,,,Planned,,,,Other industry,Dedicated storage,South West Hub Project
CCUS_11,ADM & Wolf Carbon Solutions pipeline (IA),Transport,2022-01-01,,,,Planned,,12.0,12.0,CO2 transport,,ADM & Wolf Carbon Solutions pipeline
CCUS_12,ADM Cedar rapids bioethanol (IA),Capture,2022-01-01,,,,Planned,,,,Biofuels,Dedicated storage,ADM & Wolf Carbon Solutions pipeline
CCUS_13,ADM Clinton bioethanol (IA),Capture,2022-01-01,,,,Planned,,,,Biofuels,Dedicated storage,ADM & Wolf Carbon Solutions pipeline
CCUS_14,Advanced CO2 Capture from Hydrogen Production Unit at Phillips 66 Rodeo Refinery (CA),Capture,2021-01-01,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,
CCUS_15,Aemetis CCS Keyes facility (CA),Full Chain,2021-01-01,,2024-01-01,,Planned,,0.4,0.4,Biofuels,Dedicated storage,Aemetis CCS
CCUS_16,Aemetis CCS Riverbank facility (CA),Full Chain,2021-01-01,,2024-01-01,,Planned,,,,Biofuels,Dedicated storage,Aemetis CCS
CCUS_17,Air Liquide Botlek Rotterdam refinery,Capture,2012-01-01,2023-01-01,2024-01-01,,Planned,,0.5,0.5,Other fuel transformation,Dedicated storage,Porthos
CCUS_18,Air Liquide Total Energies Grandpuits biorefinery,CCU,2022-01-01,,,,Planned,,0.11,0.11,Other fuel transformation,Use,
CCUS_19,AirCapture DACU at Nutrien Kennewick Fertilizer (WA),CCU,2022-01-01,,,,Planned,,,,Direct Air Capture,Use,
CCUS_20,AirCapture Nuclear DAC at JM Farley Nuclear (AL),Capture,2022-01-01,,,,Planned,,,,Direct Air Capture,Dedicated storage,
CCUS_21,Alberta Carbon Grid (ALB) phase 1 (Industrial heartland),Transport & Storage,2021-01-01,,,,Planned,,10.0,10.0,CO2 transport & storage,Dedicated storage,Alberta Carbon Grid (ALB)
CCUS_22,Alberta Carbon Grid (ALB) phase 2,Transport & Storage,2021-01-01,,,,Planned,,10.0,10.0,CO2 transport & storage,Unknown/unspecified,Alberta Carbon Grid (ALB)
CCUS_23,Alberta Carbon Trunk Line (ACTL) (ALB),Transport,2011-01-01,2014-01-01,2020-01-01,,Operational,,14.6,14.6,CO2 transport,,Alberta Carbon Trunk Line (ACTL)
CCUS_24,Altera Stella Maris CCS Project,Transport & Storage,2020-01-01,,,,Planned,,10.0,10.0,CO2 transport & storage,Dedicated storage,Altera Stella Maris CCS/ Havstjerne 
CCUS_25,Aluminium Bahrain MHI capture,Capture,2022-01-01,,,,Planned,,,,Other industry,Unknown/unspecified,
CCUS_26,ANRAV-CCUS (Heidelberg Materials Devnya plant),Full Chain,2022-01-01,,2028-01-01,,Planned,,0.8,0.8,Cement,Dedicated storage,
CCUS_27,Antwerp@C CO2 Export Hub phase 1,Transport,2019-01-01,2023-01-01,2027-01-01,,Planned,1.0,2.5,2.5,CO2 transport,,Antwerp@C
CCUS_28,Antwerp@C CO2 Export Hub phase 2,Transport,2019-01-01,2023-01-01,2030-01-01,,Planned,2.0,7.5,7.5,CO2 transport,,Antwerp@C
CCUS_29,Aramis CCS phase 1,Transport & Storage,2019-01-01,2025-01-01,2027-01-01,,Planned,1.0,5.0,5.0,CO2 transport & storage,Dedicated storage,Aramis CCS
CCUS_30,Aramis CCS phase 2,Transport & Storage,2019-01-01,,,,Planned,2.0,3.0,3.0,CO2 transport & storage,Dedicated storage,Aramis CCS
CCUS_31,Arcelor LanzaTech Carbalyst (Steelanol) Ghent,CCU,2011-01-01,2015-01-01,2022-01-01,,Operational,,0.125,0.125,Iron and steel,Use,
CCUS_32,Arcelor Mittal Air Liquide Low-carbon steel (phase 2?),Capture,2020-01-01,,2030-01-01,,Planned,2.0,1.0,2.85,Iron and steel,Dedicated storage,
CCUS_33,Arkalon CO2 Compression Facility (KS),Full Chain,,,2009-01-01,,Operational,,0.19,0.31,Biofuels,Enhanced oil recovery,
CCUS_34,Arthit offshore gas field CCS,Full Chain,2022-01-01,,2026-01-01,,Planned,,,,Natural gas processing,Dedicated storage,
CCUS_35,Arun CCS (Arun LNG),Full Chain,2022-01-01,,2028-01-01,,Planned,,,,Natural gas processing,Dedicated storage,
CCUS_36,Ascension Clean Energy (ACE) complex (LA),Capture,2022-01-01,2024-01-01,2027-01-01,,Planned,,12.0,12.0,Hydrogen/ammonia,Dedicated storage,Denbury Green Pipeline/Denbury Ascension Parish sequestration
CCUS_37,Athabasca Banks Carbon Hub (ALB),Storage,2022-01-01,,,,Planned,,,,CO2 storage,Dedicated storage,Athabasca Banks Carbon Hub (ALB)
CCUS_38,Athabasca Leismer project (ALB),Capture,2022-01-01,2023-01-01,2024-01-01,,Planned,,0.164,0.164,Other fuel transformation,Unknown/unspecified,
CCUS_39,Atlas Carbon Sequestration Hub Phase 1 (former Polaris Shell hub) (ALB),Transport & Storage,2021-01-01,2023-01-01,2025-01-01,,Planned,1.0,0.75,0.75,CO2 transport & storage,Dedicated storage,Atlas Carbon Sequestration Hub
CCUS_40,Atlas Carbon Sequestration Hub Phase 2 (former Polaris Shell hub) (Alb),Transport & Storage,2021-01-01,,,,Planned,2.0,9.25,9.25,CO2 storage,Dedicated storage,Atlas Carbon Sequestration Hub
CCUS_41,Augusta C2 ,Transport,2022-01-01,,2029-01-01,,Planned,,0.2,0.2,CO2 transport,,Augusta-C2/Prinos CO2 storage
CCUS_42,Aukra Hydrogen Hub,Capture,2021-01-01,2024-01-01,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
CCUS_43,Avedøre and Asnæs Power Station (Ørsted),CCU,2021-01-01,,2025-01-01,,Planned,,0.4,0.4,Power and heat,Use,
CCUS_44,Bacton Thames Net Zero initiative,Storage,2022-01-01,,2027-01-01,,Planned,,6.0,10.0,CO2 storage,Dedicated storage,Bacton Thames Net Zero initiative
CCUS_45,Balikpapan Refinery,Full Chain,2022-01-01,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,
CCUS_46,Barents Blue ammonia project Train 1,Capture,2021-01-01,2023-01-01,2025-01-01,,Planned,1.0,1.84,2.0,Hydrogen/ammonia,Dedicated storage,Polaris offshore storage facility
CCUS_279,HIF USA eFuels Matagorda County (TX),CCU,2021-01-01,2023-01-01,2026-01-01,,Planned,,2.2,2.2,Direct Air Capture,Use,
CCUS_47,Barents Blue ammonia project Train 2,Capture,2021-01-01,,,,Planned,2.0,1.84,2.0,Hydrogen/ammonia,Dedicated storage,Polaris offshore storage facility
CCUS_48,Barents Blue ammonia project Train 3,Capture,2021-01-01,,,,Planned,3.0,1.84,2.0,Hydrogen/ammonia,Dedicated storage,Polaris offshore storage facility
CCUS_49,Barossa and Darwin liquefied natural gas (DLNG) CCUS,Capture,2021-01-01,2023-01-01,2025-01-01,,Planned,,2.3,2.3,Natural gas processing,Dedicated storage,Bayu-Undan field storage hub
CCUS_50,Battle River Carbon Hub (ALB),Storage,2022-01-01,,,,Planned,,5.0,5.0,CO2 storage,Dedicated storage,Battle River Carbon Hub (ALB)
CCUS_51,Bayou Bend CCS offshore (TX),Storage,2021-01-01,,,,Planned,,,,CO2 storage,Dedicated storage,Bayou Bend CCS offshore (TX)
CCUS_52,Bayu-Undan field storage hub Timor-Leste phase 1,Transport & Storage,2021-01-01,2025-01-01,2027-01-01,,Planned,1.0,2.3,2.3,CO2 transport & storage,Dedicated storage,Bayu-Undan field storage hub
CCUS_53,Bayu-Undan field storage hub Timor-Leste phase 2,Transport & Storage,2021-01-01,2025-01-01,,,Planned,2.0,10.0,10.0,CO2 transport & storage,Dedicated storage,Bayu-Undan field storage hub
CCUS_54,BIGST gas fiels Cluster Heads of Agreement,Full Chain,2022-01-01,,,,Planned,,,,Natural gas processing,Dedicated storage,
CCUS_55,Biorecro Igelsta plant,Capture,2020-01-01,,,,Planned,,0.65,0.65,Power and heat,Dedicated storage,
CCUS_56,BIR Waste-to-Energy Bergen,Capture,2021-01-01,,,,Planned,,0.1,0.1,Power and heat,Unknown/unspecified,
CCUS_57,Blue Biston ATR advanced CCUS system (WY),Capture,2021-01-01,,,,Planned,,1.66,1.66,Hydrogen/ammonia,Unknown/unspecified,
CCUS_58,Blue but better (ALB) (Air Products Hydrogen Production and Liquefaction Facility),Capture,2021-01-01,2022-01-01,2024-01-01,,Under construction,,3.0,3.0,Hydrogen/ammonia,Unknown/unspecified,Alberta Carbon Trunk Line (ACTL)
CCUS_59,Bonanza BioEnergy CCUS (KS),Full Chain,2010-01-01,,2012-01-01,,Operational,,0.1,0.1569,Biofuels,Enhanced oil recovery,
CCUS_60,Bonaparte CCS Assessment G7-AP,Storage,2022-01-01,,2026-01-01,,Planned,,2.0,2.0,CO2 storage,Dedicated storage,
CCUS_61,Boral Southern Highlands cement and lime facilities,CCU,2022-01-01,,,,Planned,,0.1,0.1,Other industry,Use,
CCUS_62,Borealis Antwerp CCS,Capture,2021-01-01,2023-01-01,2030-01-01,,Planned,,,,Other industry,Unknown/unspecified,
CCUS_63,Borregaard / SAE (Borg CO2),Capture,2019-01-01,,,,Planned,,0.15,0.15,Power and heat,Dedicated storage,Northern Lights
CCUS_64,Boryeong LNG Terminal blue hydrogen,Full Chain,2022-01-01,,2025-01-01,,Planned,,0.15,0.15,Hydrogen/ammonia,Dedicated storage,
CCUS_65,Boundary Dam CCS (SASK),Full Chain,2008-01-01,2010-01-01,2014-01-01,,Operational,,1.0,1.0,Power and heat,Enhanced oil recovery,
CCUS_66,Bow River Hub (ALB),Storage,2022-01-01,,,,Planned,,5.0,5.0,CO2 storage,Dedicated storage,Bow River Hub (ALB)
CCUS_67,BP H2Teesside Phase 1,Capture,2021-01-01,,2027-01-01,,Planned,1.0,1.0,1.0,Hydrogen/ammonia,Dedicated storage,Northern Endurance Partnership
CCUS_68,BP H2Teesside Phase 2,Capture,2021-01-01,,2030-01-01,,Planned,2.0,1.0,1.0,Hydrogen/ammonia,Dedicated storage,Northern Endurance Partnership
CCUS_69,Brazeau Carbon Sequestration Hub (ALB),Storage,2022-01-01,,,,Planned,,,,CO2 storage,Dedicated storage,Brazeau Carbon Sequestration Hub (ALB)
CCUS_70,Bridgeport Energy Moonie CCUS Project,Transport & Storage,2018-01-01,,2023-01-01,,Planned,,0.12,0.12,CO2 transport & storage,Enhanced oil recovery,Bridgeport Energy Moonie CCUS Project
CCUS_71,Broadwing Clean Energy Complex (IL),Capture,2021-01-01,2023-01-01,2025-01-01,,Planned,,1.0,1.0,Power and heat,Unknown/unspecified,Decatur IL
CCUS_72,Bushmills Ethanol Atwater (MN),Capture,2022-01-01,,2024-01-01,,Planned,,0.23,0.23,Biofuels,Dedicated storage,Midwest carbon express
CCUS_73,Buxton Lime Net Zero,Capture,2022-01-01,,,,Planned,,,,Other industry,Dedicated storage,
CCUS_74,Buzzi Unicem Augusta cement plant,Capture,2022-01-01,,,,Planned,,0.2,0.2,Cement,Dedicated storage,Augusta-C2/Prinos CO2 storage
CCUS_75,C Zero phase 1,Transport,2023-01-01,,,,Planned,1.0,1.2,1.2,CO2 transport,,C Zero/Nautilus
CCUS_76,C Zero phase 2,Transport,2023-01-01,,,,Planned,2.0,1.2,1.2,CO2 transport,,C Zero/Nautilus
CCUS_77,C Zero phase 3,Transport,2023-01-01,,,,Planned,3.0,0.3,0.3,CO2 transport,,C Zero/Nautilus
CCUS_78,CalCapture CCS+ Elk Hills power plant (CA) ,Full Chain,2019-01-01,2023-01-01,2024-01-01,,Planned,,1.4,1.4,Power and heat,Enhanced oil recovery,Elk hills 
CCUS_79,CalCC Lhoist Air Liquide Lime plant Rety,Capture,2022-01-01,,2028-01-01,,Planned,,0.61,0.61,Other industry,Dedicated storage,D'Artagnan
CCUS_80,Caledonia Clean Energy (previously Captain Clean Energy),Full Chain,2012-01-01,,2025-01-01,,Planned,,3.0,3.0,Power and heat,Dedicated storage,
CCUS_81,Callisto phase 1,Transport,2023-01-01,,2030-01-01,,Planned,1.0,3.6,3.6,CO2 transport,,Ravenna Hub
CCUS_82,Callisto phase 2,Transport,2023-01-01,,2040-01-01,,Planned,2.0,2.8,2.8,CO2 transport,,Ravenna Hub
CCUS_83,Calpine Baytown Energy Center (TX),Capture,2023-01-01,,,,Planned,,2.0,2.0,Power and heat,Unknown/unspecified,
CCUS_84,Calpine Deer Park Energy Center (TX),Capture,2021-01-01,,,,Planned,,0.82,5.0,Power and heat,Dedicated storage,
CCUS_85,Calpine Delta Energy Center (CA),Capture,2021-01-01,,,,Planned,,,,Power and heat,Dedicated storage,
CCUS_86,Carbon America Bridgeport Ethanol (NE),Full Chain,2022-01-01,,,,Planned,,0.175,0.175,Biofuels,Dedicated storage,
CCUS_87,Carbon America Sterling ethanol (CO),Full Chain,2022-01-01,2024-01-01,,,Planned,,,,Biofuels,Dedicated storage,
CCUS_88,Carbon America Yuma ethanol (CO),Full Chain,2022-01-01,2024-01-01,,,Planned,,,,Biofuels,Dedicated storage,
CCUS_89,Carbon Capture at Corn-processing complex (NE),Capture,2022-01-01,,,,Planned,,,,Biofuels,Dedicated storage,Eastern Wyoming Sequestration Hub (WY)
CCUS_90,Carbon Capture at Ince Fertiliser Site,Capture,2018-01-01,,,,Planned,,0.4,0.4,Other industry,Dedicated storage,Liverpool Bay CO2 storage
CCUS_91,Carbon capture plant Stanlow (FCC),Capture,2019-01-01,,,,Planned,,,,Other fuel transformation,Dedicated storage,Liverpool Bay CO2 storage
CCUS_92,Carbon Capture Retrofit at Sherman Generating Station (TX),Capture,2019-01-01,,,,Planned,,,,Power and heat,Unknown/unspecified,
CCUS_93,Carbon Clean CEMEX Rudersdorf plant phase 1,CCU,2021-01-01,,2026-01-01,,Planned,1.0,0.1095,0.1095,Cement,Use,
CCUS_94,Carbon Clean CEMEX Rudersdorf plant phase 2,CCU,2021-01-01,,,,Planned,2.0,0.584,0.584,Cement,Use,
CCUS_95,Carbon Engineering Constellation Nuclear DACS at Byron Generation Station (IL),Capture,2022-01-01,,,,Planned,,0.25,0.25,Direct Air Capture,Dedicated storage,Illinois Storage Corridor
CCUS_96,Carbon Storage Complect Southeastern Michigan (Mi),Storage,2023-01-01,,,,Planned,,,,CO2 storage,Dedicated storage,Carbon Storage Complect Southeastern Michigan (Mi)
CCUS_97,Carbon2Business LafargeHolcim Laegerdorf (Westkuste100/Hyscale100),CCU,2020-01-01,,2027-01-01,,Planned,,1.0,1.0,Cement,Use,
CCUS_98,Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,Capture,2020-01-01,,2030-01-01,,Planned,1.0,0.7,0.7,Cement,Dedicated storage,
CCUS_99,CarbonCapture DACU Carbon Cure at Gary Works (IN),CCU,2022-01-01,,,,Planned,,,,Direct Air Capture,Use,
CCUS_100,CarbonEngineering Lanzatech Project AtmosFUEL,CCU,2021-01-01,,2029-01-01,,Planned,,0.3,0.3,Direct Air Capture,Use,
CCUS_101,CarbonNet,Transport & Storage,2010-01-01,2024-01-01,2030-01-01,,Planned,,5.0,5.0,CO2 transport & storage,Dedicated storage,CarbonNET
CCUS_102,Cardinal Ethanol Union City (IN),Full Chain,2023-01-01,,,,Planned,,0.4,0.4,Biofuels,Dedicated storage,
CCUS_103,"CCS Baltic Constium, Klapeida terminal",Transport,2022-01-01,2024-01-01,2030-01-01,,Planned,,4.0,4.0,CO2 transport,,"CCS Baltic Constium, Klapeida terminal"
CCUS_104,CCUS at Red Hills natural gas processing complex (NM) EOR Phase 2,Full Chain,2022-01-01,2022-01-01,2023-01-01,,Under construction,1.0,0.36,0.36,Natural gas processing,Enhanced oil recovery,
CCUS_105,CCUS at Red Hills natural gas processing complex (NM) EOR Phase 3,Full Chain,2022-01-01,,2024-01-01,,Planned,2.0,0.26,0.26,Natural gas processing,Enhanced oil recovery,
CCUS_106,"CCUS hub at Strahcona Resources Cold Lake Lindbergh, Orion, and Tucker SAGD facilities (x 3 projects) (ALB)",Capture,2022-01-01,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,
CCUS_107,Cementa Slite plant,Capture,2021-01-01,,2030-01-01,,Planned,,1.8,1.8,Cement,Dedicated storage,
CCUS_108,CEMEX Balcones Cement plant (TX),Capture,2020-01-01,,,,Planned,,0.5,0.5,Cement,Unknown/unspecified,
CCUS_109,Central Alberta Hub (ALB),Storage,2022-01-01,,2024-01-01,,Planned,,2.0,3.0,CO2 storage,Dedicated storage,"Alberta Carbon TrunkLine (Transport), Central Alberta Hub (ALB) (Storage)"
CCUS_110,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),Transport & Storage,2022-01-01,2023-01-01,2027-01-01,,Under construction,,10.0,10.0,CO2 transport & storage,Dedicated storage,CENLA hub
CCUS_111,Centrica Equinor hydrogen hub Easington collaboration,Full Chain,2022-01-01,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
CCUS_112,Century plant - (TX),Full Chain,2008-01-01,2008-01-01,2010-01-01,,Operational,,4.32,4.32,Natural gas processing,Enhanced oil recovery,
CCUS_113,Cerilon gas-to-liquids complex (ND),Full Chain,2021-01-01,,,,Planned,1.0,2.0,2.0,Other fuel transformation,Dedicated storage,
CCUS_114,CF Fertilisers Billingham Ammonia CCS,Capture,2021-01-01,,,,Planned,,,,Other industry,Dedicated storage,Northern Endurance Partnership
CCUS_115,CF Industries and Mitsui Blue ammonia complex (LA),Full Chain,2022-01-01,2023-01-01,2027-01-01,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
CCUS_116,CF Industries blue ammonia Donaldsonville (LA),Capture,2020-01-01,2021-01-01,2025-01-01,,Under construction,,2.0,2.0,Hydrogen/ammonia,Dedicated storage,EnLink transport network & ExxonMobil Vermilion parish storag
CCUS_117,CF Industries blue ammonia Yazoo (LA),Capture,2020-01-01,,,,Planned,,0.5,0.5,Hydrogen/ammonia,Dedicated storage,
CCUS_118,Changling Gas plant /Jilin Oil Field CO2-EOR Full-scale (Jilin),Full Chain,2006-01-01,2015-01-01,2018-01-01,,Operational,,0.43,0.6,Natural gas processing,Enhanced oil recovery,
CCUS_119,Chevron Mitsui CO2 shipping SGP-AUS,Transport,2022-01-01,,,,Planned,,2.5,2.5,CO2 transport,,Chevron Mitsui CO2 shipping SGP-AUS
CCUS_120,China Energy Jinjie Power,Full Chain,2018-01-01,2019-01-01,2021-01-01,,Operational,,0.15,0.15,Power and heat,Enhanced oil recovery,
CCUS_121,China Energy Taizhou power,Capture,2021-01-01,2021-01-01,2023-01-01,,Under construction,,0.5,0.5,Power and heat,Mixed,
CCUS_122,CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,Transport,2020-01-01,,,,Planned,,1.5,1.5,CO2 transport,,CinfraCap
CCUS_123,ClimAid Copenhagen Malmö Port Amager Bakke CO2 capture,Full Chain,2020-01-01,,2025-01-01,,Planned,,0.5,0.5,Power and heat,Dedicated storage,
CCUS_124,Climeworks DAC at Brawley Geothermal (CA),Full Chain,2022-01-01,,,,Planned,,,,Direct Air Capture,Dedicated storage,
CCUS_125,Climeworks Gulf Coast MoU (LA),Capture,2022-01-01,,2030-01-01,,Planned,,1.0,1.0,Direct Air Capture,Dedicated storage,Gulf Coast Sequestration Hub
CCUS_126,Climeworks Mammoth Project,Full Chain,2022-01-01,2022-01-01,2024-01-01,,Under construction,,0.036,0.036,Direct Air Capture,Dedicated storage,
CCUS_127,Climeworks Norsk e fuel phase 1,CCU,2020-01-01,2023-01-01,2024-01-01,,Planned,1.0,0.03,0.03,Direct Air Capture,Use,
CCUS_128,Climeworks Norsk e fuel phase 2,CCU,2020-01-01,,2026-01-01,,Planned,2.0,0.03,0.03,Direct Air Capture,Use,
CCUS_129,Climeworks Norsk e fuel phase 3,CCU,2020-01-01,,2029-01-01,,Planned,3.0,0.17,0.17,Direct Air Capture,Use,
CCUS_130,Climeworks Orca,Full Chain,,,2021-01-01,,Operational,,0.004,0.004,Direct Air Capture,Dedicated storage,
CCUS_131,Clive CO2-EOR (ACTL) (ALB),Storage,2011-01-01,2014-01-01,2020-01-01,,Operational,,0.44,1.12,CO2 storage,Enhanced oil recovery,Alberta Carbon Trunk Line (ACTL)
CCUS_132,CNOOC Enping offshore CCS,Full Chain,2021-01-01,2021-01-01,2023-01-01,,Under construction,,0.3,0.3,Natural gas processing,Unknown/unspecified,
CCUS_133,CNPC China Northwest (Xinjiang) hub phase 1,Transport & Storage,2019-01-01,2023-01-01,2025-01-01,,Planned,1.0,1.5,1.5,CO2 transport & storage,Enhanced oil recovery,CNPC China Northwest (Xinjiang) hub
CCUS_134,CNPC China Northwest (Xinjiang) hub phase 2,Transport & Storage,2019-01-01,,2030-01-01,,Planned,2.0,1.5,1.5,CO2 transport & storage,Enhanced oil recovery,CNPC China Northwest (Xinjiang) hub
CCUS_135,CNPC China Northwest (Xinjiang) hub refinery hydrogen,Capture,2019-01-01,2023-01-01,2025-01-01,,Planned,,1.5,1.5,Other fuel transformation,Enhanced oil recovery,CNPC China Northwest hub
CCUS_136,CO2 capture at Coal Creek (ND),Capture,2021-01-01,2025-01-01,,,Planned,,,,Power and heat,Unknown/unspecified,
CCUS_137,CO2 capture at Duke Energy's East Bend Station (KY),Capture,2018-01-01,,,,Planned,,,,Power and heat,Enhanced oil recovery,
CCUS_138,CO2 TO METHANOL Finnfjord Ferrosilicon,CCU,2017-01-01,2023-01-01,,,Planned,,0.3,0.3,Iron and steel,Use,
CCUS_139,CO2MENT LafargeHolcim Florence (CO),Full Chain,2020-01-01,,2025-01-01,,Planned,,0.7,1.5,Cement,Dedicated storage,
CCUS_140,CO2nnectNow HES Wilhelmshaven Tank Terminal phase 1,Transport,2022-01-01,,2028-01-01,,Planned,,10.0,10.0,CO2 transport,,CO2nnectNow HES Wilhelmshaven Tank Terminal
CCUS_141,"CO2TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",Transport,2022-01-01,,,,Planned,1.0,5.0,5.0,CO2 transport,,CO2TransPorts
CCUS_142,"CO2TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",Transport,2022-01-01,,,,Planned,1.0,,,CO2 transport,,CO2TransPorts
CCUS_143,Coastal Bend Carbon Management Partnership (TX),Storage,2022-01-01,,,,Planned,,1.0,1.5,CO2 storage,Dedicated storage,Coastal Bend Carbon Management Partnership (TX)
